index	page	text
496345-496362	128	6  DECEMBER. ll^ 
500852-500863	129	116 6  DECEMBER. 
505339-505356	130	6  DECEMBER. 117 
509868-509878	131	118 6 DECEMBER. 
514460-514476	132	6 DECEMBER. 119 
518255-518269	133	120 6—ö DECEMBER. 
522422-522442	134	8—11  DECEMBER. 121 
526072-526083	135	122 11 DECEMBER. 
530502-530522	136	11—15 DECEMBER. 155 
534249-534267	137	124 15—21   DECEMBER. 
538003-538021	138	21  DFCEMBER. 128 
541901-541912	139	126 21 DECEMBER. 
546286-546303	140	21 DECEMBER. 127 
550517-550529	141	128 21  DECEMBER. 
554997-555018	142	21-^24 DECEMBER. 129 
558703-558717	143	130 24-31 DÉCEltBEtt. 
562591-562610	144	31  DECEMBEft. 131 
566508-566520	145	132 31  DECEMBER. 
571012-571030	146	31  DECEMBER. 153 
575537-575549	147	134 31  DECEMBER. 
579999-580017	148	31  DECEMBER. 15» 
584682-584693	149	156 31 DECEMBER. 
589271-589289	150	31  DECEMBER. 157 
593776-593787	151	138 31 DECEMBER 
598362-598380	152	31  DECEMBER. 139 
602396-602408	153	140 31  DECEMBER. 
606784-606802	154	31  DECEMBER. 141 
611010-611022	155	I4i 31  DECEMBER. 
614050-614069	156	31  DEGEMBEft. 14S 
618372-618383	157	144 31 DECEMBER. 
622810-622827	158	31 DECEMBER. 14ti 
626294-626294	159	146 
629401-629420	160	31   DECEMBER. 147 
633496-633507	161	148 31 DfiCEMBEd. 
637920-637938	162	31  DECEMBER. I49 
642041-642053	163	150 31  DECEMBER. 
646274-646292	164	31  DECEMBER. 151 
650416-650428	165	152 31  DECEMBER. 
654654-654672	166	31  DECEMBER. 1K3 
659162-659174	167	1S4 31  DECEMBER. 
663474-663491	168	31 DECEMBER. 1B5 
667817-667829	169	156 31  DECEMBER. 
672364-672383	170	31   DECEMBER. IK? 
676951-676963	171	1B8 31  DECEMBER. 
681447-681465	172	31  DECEMBER. 159 
683978-683997	173	Januarlus Anno 1641. 
686588-686609	174	9—15  JANÜARIÜS. 161 
690487-690502	175	iéi , 15 JANUARIUS. 
694848-694866	176	15 JANUARIUS. 163 
699415-699426	177	i64 15 JANUARtUS. 
703888-703909	178	15-21 JANUARIUS. 16» 
708220-708240	179	166 21 — 23 JANÜARIUS. 
712340-712367	180	23 — 24 JANUARIÜS. 167 
716719-716730	181	168 24 JANÜARIÜS. 
721304-721322	182	24 JANUARIUS. 160 
725593-725604	183	170 24 JANÜARIOS. 
729885-729903	184	24 JANUARIÜS. 17t 
734058-734069	185	171 24 JANÜARIUS. 
737578-737598	186	24 JAt!^UARIÜS. l75 
742114-742128	187	1Ï4 24-29 JANUARIUS. 
746322-746342	188	2d   JANUARIÜS. 17^ 
750393-750405	189	176 29  JANUARIUS. 
754681-754702	190	29-31 JANUARIUS. 1^7 
756847-756867	191	Februarlus Anno 1641. 
759942-759962	192	2-9 PEBRÜARIUS. 17Ö 
763773-763784	193	180 10 FEBtiUAtllOS. 
768080-768104	194	10-14   FEBRÜARIUS. 181 
772416-772429	195	182 1^17 FEBRUARIUS. 
776469-776491	196	17-19 FEBRÜARIÜS. 183 
780749-780761	197	184 19  FEBRUARIUS. 
785166-785185	198	Ï9 FEBRÜARIUS. 188 
789483-789494	199	186 19 FEBRUARIUS. 
793947-793966	200	19 PBBRUARIU8. 187 
798272-798284	201	188 19  FEBRUARIUS. 
803013-803032	202	19 FEBRUARIÜS. 189 
807503-807515	203	190 19  FEBRUARIUS. 
811993-812012	204	19 FEBRÜARIÜS. 191 
816552-816563	205	192 19 PEBRÜARIUS. 
821036-821055	206	19 FEBRUARIÜS. I93 
825545-825556	207	194 19 FEBRÜARIÜS. 
828872-828895	208	lft~26 FEBRÜARIUS. I95 
833128-833148	209	196 26 — 28 FEBRUARIÜS. 
837595-837615	210	28  FEBRÜARÏUS. 197 
842153-842164	211	198 28 FEBRUARIDS. 
846555-846574	212	28 FEBRUARIUS. 199 
851116-851127	213	500 28 FEBRÜARIUS. 
854916-854937	214	28   FEBRUARIÜS. 201 
858813-858824	215	tot 28 FEBBÜABIUS. 
863244-863263	216	28 FEBBUARIUS. 203 
864544-864561	217	Martius Anno 1641. 
867441-867459	218	4-1Ö Martiüs. ioi 
871269-871280	219	iOé lÖ MARTIÜS. 
875779-875795	220	10 MARTIUS. iol 
880162-880173	221	208 10 MARTIüS. 
884454-884470	222	lö MARTIUS. 20C 
888984-888998	223	210 10—13 MARTIUS. 
893255-893274	224	13^16 MARTIIS. 211 
897523-897534	225	212 16 MARTIÜS. 
901620-901640	226	17—21  MARTIÜS. 215 
905801-905821	227	2U •    21-27 MARTIUS. 
909714-909734	228	28-31  MARTIUS. 21» 
913508-913520	229	216 31  MARTIUS. 
917852-917869	230	^1  MARTIUS. 217 
922125-922137	231	218 31  MARTIÜS. 
926403-926419	232	31 MARTIUS. 219 
930440-930452	233	220 31  MARTJÜS. 
933903-933920	234	April   Anno 1641. 
937129-937140	235	222 3  APRIL. 
941754-941768	236	3  APRIL. 223 
946245-946255	237	224 3 APRIL. 
950427-950441	238	3  APRIL. è^^ 
954557-954571	239	S2é . 5 APRiL. 
958713-958727	240	é APftiL. 22;7 
961762-961772	241	228 5 At&gt;RlL. 
965746-965759	242	a APRIL. 229 
969967-969977	243	230 3 APRIL. 
974183-974196	244	3 APRIL. 231 
978526-978537	245	232 3  APRIL. 
982817-982832	246	4-6 APRIL. 235 
986835-986847	247	^54 6-9 APRIL. 
991046-991059	248	9 APRIL. 231} 
995360-995370	249	236 d APRIL. 
999456-999468	250	9 APRIL ast 
1003802-1003812	251	i58 9 APttlL. 
1008188-1008201	252	d APRIL. ^59 
1012653-1012664	253	240 9  APRIL. 
1017140-1017157	254	9-11  APRIL. 241 
1021429-1021439	255	Ui il APHiL. 
1025275-1025289	256	il APRIL. 245 
1029745-1029757	257	244 11  APRIL. 
1034206-1034223	258	11—13 APRIL. 245 
1038289-1038303	259	246 13-15 APRIL. 
1042141-1042158	260	15-17 APRIL. 247 
1045893-1045907	261	248 17—19 APRIL. 
1049228-1049247	262	-^ 19 APRIL. 249 
1053234-1053245	263	JKO 19 APRIL. 
1057871-1057885	264	19 APRIL. 2JJ1 
1062397-1062408	265	2S8 19 APRIL. 
1066934-1066948	266	19 APRIL. 253 
1070953-1070964	267	254 19 APRIL. 
1074574-1074600	268	19 B!c 20 APtllL. Ui 
1077882-1077904	269	^66 2Ö EX 21  APRIL. 
1081915-1081930	270	21  APRIL. 257 
1086448-1086459	271	258 21 APRIL. 
1091013-1091027	272	21 APRIL. 2!i9 
1095648-1095659	273	léÖ 21 APRfL. 
1100272-1100287	274	21  APRIL. 261 
1104709-1104715	275	21  APRIL 
1107761-1107776	276	21  APRIL. 263 
1111694-1111706	277	264 21  APRIL. 
1115964-1115980	278	21   APRIL. 26S 
1120223-1120235	279	266 21  APRIL. 
1123965-1123980	280	21  APRIL. i67 
1128377-1128398	281	268 21  ^ 22 APRIL. 
1132487-1132505	282	22-2*1 APRfL. è6d 
1136429-1136463	283	è7Ö 27 EN 28 APhiL.     ♦ 
1140503-1140527	284	2Ö KN 29 APRÏL. J^l 
1144638-1144653	285	272 29-31  APRÜ. 
1147488-1147503	286	Mayus Anno 1641. 
1150729-1150740	287	274 1  MAYÜS. 
1154825-1154839	288	1  MAYÜS. 27B 
1159150-1159162	289	276 1—6 MAYIS. 
1162804-1162830	290	6-^8 MAYUS. .       277 
1166620-1166633	291	278 Ö-IO MAYUS. 
1170095-1170113	292	10-11  MAYÜS. 279 
1174283-1174295	293	280 11  MAYUS. 
1178495-1178517	294	13  MAYUS.    . 281 
1183149-1183160	295	282 13 MAYUS 
1187009-1187023	296	13 MAYUS. 283 
1190104-1190115	297	284 13 MAYUS. 
1194137-1194152	298	13  MAYÜS. 288 
1198365-1198387	299	286 13 EN  14 MAVrs. 
1203040-1203054	300	14 MAYÜS. 287 
1207514-1207525	301	^88 14 MaYUS. 
1211863-1211877	302	14 MAYÜS. 289 
1216332-1216343	303	290 1^ MAYUS. 
1220867-1220881	304	14 MAYUS. 291 
1225233-1225244	305	292 14 MAYUS. 
1229839-1229853	306	14 MAYUS. 29S 
1234327-1234338	307	294 1^ MAYÜS. 
1239062-1239076	308	14 MAYÜS. 295 
1243420-1243431	309	)9Q 14 MAYUS. 
1247817-1247831	310	14 MAYUS. 297 
1252201-1252212	311	298 14 MAYUS. 
1256509-1256523	312	14 MAYÜS. 299 
1260985-1260996	313	500 14 MAYUS. 
1265480-1265494	314	14 MAYÜS. 501 
1269756-1269767	315	^02 14 MAYUS. 
1274111-1274125	316	14 MAYUS. SOS 
1278478-1278501	317	S04 14  tN  15 MAYUS. 
1282700-1282714	318	16 MaYÜS. SOS 
1287080-1287095	319	};oe 15-18 MAYtis. 
1291078-1291095	320	18-20 MAYUS. 50r 
1294751-1294762	321	508 20 MAYÜS. 
1298366-1298380	322	20 MAYUS. 509 
1302668-1302679	323	3t0 20 MAYUS. 
1307280-1307294	324	20 MAYÜS. 311 
1311871-1311882	325	51J 20 MAYÜS. 
1315244-1315258	326	20 MAYÜS. 315 
1319750-1319761	327	514 20 MAYÜS. 
1324280-1324295	328	20  MAYÜS. 515 
1327959-1327970	329	516 20 MAYÜS. 
1330881-1330895	330	20 MAYUS. Sl-J 
1335438-1335449	331	518 20 MaVuS. 
1339767-1339783	332	20 MAYtJ{^. Sld 
1344228-1344239	333	520 20 MAYUS. 
1348617-1348631	334	20 MAYUS. 321 
1353093-1353105	335	5i2 20  MAYUS. 
1357510-1357527	336	20—23 MAYUS. 545 
1361559-1361570	337	3^4 23 MAYUS. 
1365663-1365677	338	23 MAYÜS. 32S 
1370060-1370071	339	526 23 MAYÜS. 
1373712-1373726	340	23 MAYÜS. 327 
1377387-1377387	341	f 
1381773-1381787	342	23 MAYÜS. 329 
1386168-1386179	343	530 23 MAYUS. 
1390551-1390566	344	23  MAYÜS. 531 
1395125-1395136	345	552 23 MAYÜS. 
1399567-1399593	346	'2i EN 24 MAYtis. 3S^ 
1403792-1403806	347	Ssi 24-26 MAYUS. 
1408096-1408110	348	26 MAYUS. 53^ 
1412662-1412673	349	Jsé 26 MaVUS. 
1417267-1417284	350	2&amp;-29 MAYUS. S37 
1421125-1421136	351	$38 2» "AYOS. 
1425101-1425125	352	2d ÉN 30 MAYÜS. 5S0 
1427921-1427933	353	540 31  MAYUS. 
1428615-1428631	354	Junlus Anno 1641. 
1431321-1431333	355	342 3-7 JÜNIÜS. 
1435070-1435093	356	7 EN 8 JÜNIUS. 345 
1439183-1439197	357	344 .0-12 JÜNIÜS. 
1443090-1443108	358	13-17 JUNIUS. 545 
1446422-1446436	359	346 17-20 JÜNIÜS. 
1450269-1450294	360	21—23 JUNIÜS.    - 547 
1453952-1453968	361	348 23-26   JÜNIÜS. 
1457676-1457710	362	27 EN 28 JÜNIÜ9. S49    - 
1461238-1461260	363	JlfO 28 EN 29 JONIüS. 
1464737-1464764	364	2d EN 30   JONIOS. m 
1467537-1467553	365	Jullus Anno 1641. 
1470346-1470362	366	i-4 JULiüS. 553 
1474920-1474932	367	3^4 3-^ JULIÜS. 
1478741-1478758	368	6-8 JÜLItiS. SgjJ 
1482908-1482923	369	3li6 8—13  JÜLIUS. 
1486587-1486605	370	13—16 JÜLIÜS. 357 
1490997-1491008	371	368 16 JULIÜS. 
1495239-1495257	372	16—19 JULIÜS. 359 
1499299-1499310	373	560 19 JÜLIÜS. 
1502735-1502753	374	19—22 JÜLIÜS. 361 
1506287-1506308	375	362 24 E5 25 JÜLIUS. 
1510138-1510150	376	25JÜLIÜS. 365 
1514515-1514526	377	364 25 JULIUS. 
1518880-1518896	378	26 JULltlS. S65 
1523471-1523482	379	566 25 JIJLIUS. 
1527767-1527792	380	25 EN 26 JULIUS. 367 
1531998-1532012	381	568 26-28 iULllJS. 
1536378-1536393	382	ÜÖ JULIÜS. J569 
1540935-1540946	383	590 2Ö JÜLIÜS. 
1545147-1545162	384	28 JÜLIÜS. 571 
1549712-1549723	385	372 28 JÜLIÜS. 
1554089-1554104	386	28 JÜLIÜS. 373 
1558497-1558511	387	374 2a-d0 JULIUS. 
1562080-1562105	388	30 EN 31 JULIÜS. 375 
1566041-1566052	389	376 31 JÜLIÜS. 
1569979-1569979	390	/ 
1573550-1573561	391	578 31 JULIUS. 
1577688-1577703	392	31 JULIUS. 379 
1582421-1582433	393	380 31  JÜLIUS. 
1586424-1586440	394	31  JULUtS. Sèl 
1591090-1591102	395	582 31  JÜLItlS. 
1593364-1593381	396	Augusto Anno 1641. 
1596095-1596107	397	584 3-5 AÜGUSTO. 
1600211-1600232	398	5-7 AUGUStO. * %Si 
1603841-1603856	399	386 7—10   AIGISTO. 
1607804-1607825	400	iO—14 AUGUSTO. 587 
1611718-1611741	401	S88 14 Bif  15 AUGUSTO. 
1615959-1615978	402	15—17 AÜGÜSTO. 389 
1619817-1619828	403	590 17 AUGlSTO. 
1624330-1624346	404	17 AUGUSTO. 391 
1628617-1628631	405	59J lB-19 AÜGUSTO. 
1632579-1632595	406	19 AUGÜSTO. 59i 
1636728-1636739	407	504 19 AUGUSTO. 
1641157-1641183	408	19 EN 20 AUGOSTO. 59(( 
1645344-1645359	409	S96 20-24  AÜGÜSTO. 
1649367-1649383	410	24 AÜGÜSTO. 597 
1653543-1653565	411	508 25 Elf 26 AÜGUSTO. 
1657788-1657804	412	26 AUGÜSTO. 3é9 
1662505-1662516	413	400 26 AUGUSTO. 
1666650-1666669	414	26-27 AUGÜSTÖ. 401 
1669675-1669696	415	402 27 EN 28 AtJGOSTO. 
1673525-1673551	416	29 EN 29 AUGUSTO. 40S 
1677270-1677281	417	404 29 AÜGÜSTO. 
1681147-1681166	418	29-31 AÜGÜSTO. 408 
1684813-1684832	419	September Anno 1641. 
1687604-1687621	420	2 SEPTEMBER. 407 
1691299-1691309	421	408 2 SEPTEMBEU 
1695045-1695062	422	2 SEPTEMBER. 409 
1699514-1699524	423	410 2 SEPTEMBER. 
1703896-1703913	424	2 SEPTEMBER. 411 
1708303-1708313	425	41S 2 SEPTEMBER. 
1712719-1712737	426	i SEPTEliBER. 4lj 
1717267-1717277	427	414 2 SEPTEMBER. 
1721674-1721691	428	2 SEPTËMBEn. 41S 
1725998-1726008	429	416 2 SEPTEMBER 
1730451-1730468	430	2 SEPTEMBER. 41'? 
1734935-1734953	431	4l8   . 2-4 SEt^TEltBÉtt. 
1739135-1739152	432	4 ^ËPTËMBËH. 41d 
1743739-1743750	433	420 4  SEPTEMBER. 
1748026-1748043	434	4 SEPTEMBER. 421 
1752589-1752601	435	4S2 4—7 SEPTEMBER. 
1756332-1756349	436	7 SEPTEMBER. 423 
1760740-1760750	437	424 7 SEPTEMBER. 
1765245-1765262	438	7 SEPTEMBER. 425 
1768979-1768989	439	426 7 SEPTEMBER. 
1772974-1772991	440	J SEPTEMBER. 427 
1777253-1777265	441	428 7—9 SEPTEMBER. 
1780943-1780960	442	9 SEPTEMBER. 429 
1785579-1785589	443	430 9 SEPTEMBER. 
1789919-1789940	444	9^12  SEPTEMBER. 431 
1794049-1794071	445	43^ 13 EN  14 SEPTEMBER. 
1798285-1798304	446	14 SEPTËMBEll. 453 
1802921-1802932	447	454 14 SEPTEMBErt. 
1807562-1807580	448	i4 SEPTEMBER. 455 
1812116-1812127	449	436 14 SEPTËMBEh. 
1816378-1816396	450	14 SEPTEMBER. 437 
1820919-1820930	451	438 14 SEPTEMBER. 
1825483-1825501	452	14 SEPTEMBER. 439 
1829897-1829911	453	440 14—17 SEPTEMBER. 
1833573-1833602	454	17 Eiï 18 SEPTEMBER. 441 
1836896-1836907	455	44S 13 SEPTEMBER. 
1841418-1841438	456	18   SEPTEMBER. 443 
1846126-1846140	457	444 18—23 SEPTEMBER. 
1849670-1849691	458	23-25 SEPTEMBER. 44g 
1853868-1853879	459	446 25 SEPTEMBER. 
1858179-1858200	460	25—27 SEPTEMBER. 44'? 
1862095-1862106	461	448 27 SEPTEMBER. 
1866567-1866587	462	27—30 SEPTËMBEi 449 
1869562-1869579	463	October Anno 1641. 
1872242-1872256	464	i OCTOBEl 451 
1876512-1876522	465	452 1 dCtÖBER. 
1880718-1880734	466	1  OCTOBER. 483 
1885115-1885125	467	454 1 OGTOBER. 
1889625-1889640	468	1 OCTOBER. 45K 
1893933-1893945	469	4S6 1—3 OCTOBER. 
1896631-1896646	470	3 ÜCTOBER. 4B7 
1900275-1900285	471	4S8 3 OCTOBER. 
1904481-1904496	472	3 OCTOBER. 4S9 
1908312-1908322	473	460 3 OCTOBER. 
1912227-1912242	474	3 OCTOBER. 461 
1916335-1916345	475	46i 3 OGTOBER. 
1920653-1920668	476	3 OCTOBER. 46è; 
1924991-1925001	477	464 3 OGTOBER. 
1929054-1929069	478	3 OGTOBËR. 46ti 
1933309-1933319	479	4é6 3 OCTOBÈR. 
1937929-1937946	480	i—1 OCTOBËR. 46? 
1941591-1941611	481	468 7 Ë!f 8 OCTOBER. 
1945734-1945749	482	8 OCTOBEB. 469 
1950359-1950372	483	470 9-12 OCTOBER. 
1954527-1954543	484	12 OCTOBER. 471 
1958563-1958577	485	47J 12—14 OCTOBER. 
1962699-1962718	486	14—18 OCTOBER. 473 
1966279-1966293	487	474 ia-22 OCTOBER. 
1970222-1970241	488	22-24 OCTOBER. 475 
1974058-1974072	489	476 25-29 OCTOBER. 
1977732-1977759	490	29 EN  30 OCTOBER. 477 
1981561-1981586	491	478 3Ö  Elf  31  OCTOBËB. 
1985478-1985496	492	31  OCTOBEll. 470 
1989707-1989719	493	480 31  OCTOBER. 
1994498-1994515	494	31  OCTOBER. 48i 
1998727-1998739	495	482 8i  OCTOBÉÖ. 
2002979-2002996	496	Si  OCTOBER. 483 
2005570-2005582	497	Digitized by 
2005608-2005608	498	REGISTER 
2007517-2007517	499	486 
2010432-2010466	500	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2013500-2013500	501	488 
2016430-2016464	502	REGISTER VAN PERSONEN- EN PLAATS-NAMËN. 
2019714-2019714	503	490 
2022615-2022649	504	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
2025158-2025158	505	492 
2027944-2027978	506	REGISTER VAN PERSONEN- EN PLAATS-NAMEN. 
