gramHapax	gramGood	quality
ehg	end	1.0
ehl	chl	1.0
eht	cht	1.0
ehy	chy	1.0
ei>	erd	1.0
eig	end	1.0
ejy	ely	1.0
ekh	ckh	1.0
ekj	ckj	1.0
eks	cks	1.0
ekx	ely	1.0
elq	end	0.25
enó	eno	1.0
enü	enl	1.0
eol	col	1.0
ep^	epa	1.0
erè	ere	1.0
eré	ere	1.0
esj	est	1.0
esr	est	1.0
esé	ese	1.0
et*	ene	1.0
etk	cht	1.0
etn	err	1.0
eua	ena	1.0
eum	enm	1.0
eun	enn	0.5
euo	eno	1.0
evd	evo	0.5
evé	eve	1.0
eyr	eyl	0.25
eyü	eyn	1.0
eèr	eer	1.0
eès	ees	1.0
eéd	eed	1.0
eés	ees	1.0
eêd	eed	1.0
eïn	eni	0.5
eït	elt	1.0
fTe	ffe	1.0
fTs	ffs	1.0
fUw	ntw	1.0
fdo	ldo	0.25
fdr	ndr	0.25
fem	rem	0.5
fev	iev	1.0
ffj	uri	1.0
fjg	ffg	1.0
flB	ffi	1.0
flF	fif	0.5
fl^	tig	1.0
fln	fin	1.0
fne	tre	0.5
fsn	lsn	1.0
fso	lso	1.0
fuc	tuc	1.0
fïs	ffs	1.0
fïu	flu	1.0
g*o	geo	1.0
gaD	gan	1.0
gaU	gal	1.0
gao	ppo	0.5
gcl	gel	1.0
gcm	gem	1.0
gcr	gen	1.0
gcs	ges	1.0
gda	boo	0.5
geU	per	1.0
geï	gei	1.0
gfo	gro	1.0
gos	oos	0.25
gpe	goe	1.0
guu	ght	1.0
gèn	gen	1.0
géb	geb	1.0
gél	gel	1.0
gém	gem	1.0
gés	ges	1.0
gên	gen	1.0
gër	ger	1.0
hcu	hen	1.0
hcy	hey	1.0
hiU	hil	1.0
hiu	hin	1.0
hiü	hil	1.0
hru	tru	1.0
hup	ing	1.0
hyu	hyn	1.0
hér	her	1.0
hór	hor	1.0
i)a	loo	1.0
i<^	roo	1.0
iDg	ing	0.25
iDt	int	1.0
iTd	ffd	1.0
iTh	lit	1.0
iUy	ruy	1.0
i^e	rge	0.25
i^n	ral	0.25
iaf	ial	1.0
iak	ial	1.0
icm	iem	1.0
icy	ley	0.5
iek	ier	1.0
ifh	rli	1.0
igc	ige	1.0
ihe	the	1.0
ije	tje	1.0
iko	iro	1.0
img	imo	1.0
in^	ing	0.5
ioa	loa	1.0
ioy	loy	1.0
isU	ist	1.0
iuh	inh	1.0
iye	lye	0.5
iyv	lyv	1.0
i|)	tia	1.0
ién	ien	0.5
iên	ter	1.0
iët	iet	1.0
iïa	ffa	1.0
iïd	ffd	0.5
iïn	rin	1.0
iüg	ing	1.0
iüi	ili	0.25
j^i	ran	0.5
j^t	tat	1.0
jde	ide	1.0
jeD	ten	1.0
jem	iem	1.0
jie	rie	0.5
jli	ili	0.5
jnt	ttj	1.0
jpe	nde	1.0
jsa	tsa	1.0
jse	ise	1.0
jtf	ffi	1.0
k>n	ion	0.5
kKe	khe	1.0
kal	tor	0.5
kei	ket	0.25
kim	Kim	1.0
knn	hri	1.0
kno	tra	0.5
kop	roo	0.25
kra	Bra	1.0
kre	tre	0.5
ksc	isc	0.25
kun	jui	0.25
kus	rus	1.0
kél	kel	1.0
kén	ken	1.0
lBc	fic	1.0
lIa	lla	1.0
lTs	ffs	1.0
lcv	lev	1.0
lcy	ley	1.0
ldr	tdr	1.0
lfï	lff	1.0
lgu	lor	1.0
lhy	thy	1.0
liD	lin	1.0
ljn	tin	1.0
llb	ind	1.0
lll	lli	0.5
lnn	inn	1.0
lqk	rdt	1.0
lrm	irm	1.0
lry	luy	1.0
lsj	tsj	0.5
lul	tul	1.0
luu	tun	1.0
lwy	twy	1.0
lyu	lyn	1.0
l|(	lia	1.0
l}e	l)e	0.5
m^n	mpt	1.0
maé	mae	1.0
mbó	mbo	1.0
meH	mel	1.0
meh	men	1.0
mgh	man	0.5
mjl	mil	1.0
mll	mit	1.0
moD	mon	1.0
moü	mou	1.0
mpj	mar	0.25
msf	mst	1.0
mtt	min	0.5
nDo	rla	1.0
nIw	ntw	1.0
nOn	lan	1.0
n^o	ngo	1.0
n^t	nan	1.0
nbü	nbu	1.0
ncc	ucc	1.0
ndC	nde	1.0
ndq	loo	1.0
ne^	neg	1.0
ngn	ian	1.0
ngê	nge	1.0
nij	ntj	1.0
nié	nie	1.0
nlb	ntb	1.0
nlv	ntv	0.5
nnc	inc	1.0
nnt	iri	1.0
nol	not	1.0
nrc	urc	1.0
nrg	urg	1.0
nsf	nst	0.25
nur	ill	1.0
nwb	nwo	1.0
nyg	uyg	1.0
ném	nem	1.0
nïe	nie	1.0
o^e	age	1.0
oac	ooc	1.0
obd	ood	1.0
ocg	oeg	1.0
odu	oor	1.0
ogf	opi	0.25
ogl	ogh	0.25
ogr	adj	0.5
ogu	adi	1.0
ohe	die	0.5
oht	ght	1.0
oi*	ore	1.0
oiN	ant	1.0
oi^	org	0.25
oim	arm	1.0
oiy	oly	0.5
ojK	bil	1.0
ojf	off	1.0
olI	oll	1.0
olf	afl	0.5
olj	oli	0.5
omc	ome	1.0
onD	onn	1.0
opQ	app	1.0
opn	got	0.25
opy	oov	0.25
otn	oni	1.0
ouD	all	1.0
ouu	oun	1.0
oËi	oni	1.0
oèn	oen	1.0
oór	oor	1.0
p^r	par	1.0
p^s	pos	1.0
p^t	pan	1.0
pcn	pen	1.0
pcr	per	1.0
peU	pel	1.0
pef	oef	1.0
pfr	bil	1.0
pip	gro	0.5
pië	pie	1.0
plc	ple	1.0
pme	ome	1.0
pmm	omm	1.0
png	ong	1.0
pod	ood	1.0
pom	oom	0.5
pov	oov	1.0
ppc	ppe	1.0
ppd	opd	1.0
ppn	pon	1.0
prs	ors	0.25
pró	pro	1.0
prö	pro	1.0
ptó	pto	1.0
pui	bit	1.0
pyn	byn	0.5
qlc	olc	1.0
qmm	omm	1.0
qna	qua	1.0
quo	qua	0.5
qus	ous	1.0
qu»	qua	1.0
qüe	que	1.0
rUw	ntw	1.0
rUy	ruy	1.0
r^e	rge	1.0
r^i	ron	1.0
raD	raf	1.0
raü	rat	1.0
rdj	rdi	1.0
reê	ree	1.0
rhc	rhe	1.0
rhy	ruy	1.0
ri)	rna	0.25
ri?	lic	1.0
riy	rly	1.0
rié	rie	1.0
rjo	rio	1.0
rka	rho	0.25
rki	rli	1.0
roü	rou	1.0
rpi	lan	1.0
rpt	rdt	1.0
rqm	rom	1.0
rsé	rse	1.0
rtl	rti	1.0
rtp	rna	0.25
rtê	rte	1.0
ruo	ing	0.5
ruï	nti	1.0
ryy	ryv	1.0
rÉa	lio	1.0
rèm	rem	1.0
rès	res	1.0
rén	ren	1.0
rës	res	1.0
róc	roc	1.0
rón	ron	1.0
röc	roc	1.0
rüi	rth	1.0
s$a	ssa	1.0
s(N	sor	1.0
sUe	ste	1.0
s^l	sou	1.0
saé	sae	1.0
sc&	scb	1.0
sej	sch	0.5
sfu	stu	1.0
sip	sid	0.5
siü	sin	1.0
sjt	sti	1.0
skc	ske	1.0
sot	San	0.25
soè	soe	1.0
spc	spe	1.0
spm	som	0.25
sqü	squ	1.0
st(	sta	1.0
stn	sui	0.5
suH	sur	0.25
syD	syn	1.0
sèl	sel	1.0
sén	sen	1.0
t))	tbo	1.0
t*s	tes	1.0
tTh	rli	1.0
tUw	ntw	1.0
tcr	ter	1.0
tfg	ffg	1.0
tgé	tge	1.0
thn	thu	1.0
ti*	tre	1.0
tko	tho	1.0
tmg	imb	0.25
tng	tug	1.0
tni	rri	1.0
tnp	nip	1.0
tnr	tur	1.0
toa	loa	0.5
tts	ris	0.25
ttu	rtu	0.25
twp	two	1.0
tyg	tyd	0.25
tói	toi	1.0
uUa	ula	1.0
u^^	nga	1.0
uau	uan	0.5
uaè	uae	1.0
ucb	icb	0.5
udl	udt	1.0
udr	nqu	1.0
ueh	uch	1.0
ueu	ien	0.25
ufl	uff	0.5
ugm	lam	1.0
uiu	uin	1.0
uiï	uri	1.0
uja	nto	1.0
uke	nne	0.5
ulr	ntl	1.0
umc	ume	1.0
uot	ual	1.0
usg	nsg	1.0
usê	use	1.0
uvo	nvo	0.25
uwc	uwe	1.0
uwo	nwo	0.25
uxk	uyt	1.0
u»r	uar	1.0
uïn	uin	0.5
v?e	vee	1.0
vef	ven	1.0
vfa	vra	1.0
vfe	vre	1.0
vji	vin	1.0
vjs	vis	1.0
vnd	ynd	1.0
vnn	vin	1.0
vok	vol	1.0
voó	voo	1.0
vql	vol	1.0
v«r	vir	1.0
vèr	ver	1.0
vëm	vem	1.0
wa^	wap	0.5
wbo	woo	0.25
wcc	wec	1.0
wcg	weg	1.0
weD	wen	1.0
wij	wil	1.0
wod	woo	1.0
wpo	woo	1.0
wte	wie	0.25
wéd	wed	1.0
yDe	yne	1.0
yJe	yle	0.5
yad	vad	1.0
yfF	yff	0.5
yfT	yff	1.0
yiT	yff	1.0
yia	yla	1.0
yif	yff	1.0
yiv	ytv	1.0
yk>	ylo	1.0
yll	ylt	1.0
yn^	ynd	1.0
ynb	ynd	1.0
ync	yne	1.0
yng	ynd	1.0
yné	yne	1.0
yrj	yri	1.0
yry	vry	0.25
yui	yni	1.0
yüd	ynd	1.0
|)e	tbe	0.5
|it	nin	1.0
«it	nit	1.0
«nh	inh	1.0
«ra	ira	1.0
«ui	fif	1.0
Èch	ter	1.0
Ëip	nip	1.0
Ëri	hri	1.0
Üom	Dom	1.0
èed	eed	1.0
èlv	elv	1.0
èly	ely	1.0
èng	eng	1.0
ènl	enl	1.0
èra	era	1.0
èrt	ert	1.0
èse	ese	1.0
èso	eso	1.0
èst	est	1.0
ébe	ebe	1.0
ébr	ebr	1.0
éco	eco	1.0
ége	ege	1.0
éle	ene	1.0
élh	ell	1.0
ély	ely	1.0
éna	ena	1.0
énc	enc	1.0
éni	eni	1.0
éra	era	1.0
éro	ero	1.0
érr	err	1.0
érs	ers	1.0
ése	ese	1.0
éso	eso	1.0
ést	est	1.0
éts	ers	1.0
étt	ent	1.0
éxa	exa	1.0
éüi	eni	1.0
êer	eer	1.0
êmi	emi	1.0
êst	est	1.0
êxa	exa	0.5
ëff	eff	1.0
ële	ere	1.0
ëre	ere	0.5
ëte	ete	1.0
ïne	ine	1.0
ïuy	luy	1.0
ócu	ocu	1.0
óin	oin	1.0
óir	oir	1.0
óme	ome	1.0
ómt	omt	1.0
óom	oom	1.0
óoo	boo	1.0
óor	oor	1.0
órg	org	1.0
óri	ori	1.0
óve	ove	1.0
öcu	ocu	1.0
öde	pde	0.5
önt	ont	1.0
örs	ors	1.0
ück	nck	1.0
üet	uet	1.0
üio	ing	1.0
üip	lip	1.0
üiu	thu	1.0
üon	ion	1.0
ürc	urc	1.0
üsa	usa	1.0
üst	ust	1.0
üwe	uwe	1.0
üys	uys	1.0
