gram	freq
:l4	1
:se	1
;*s	1
;^d	1
;be	1
;d'	1
;da	3
;de	1
;do	1
;ga	1
;ht	1
;ip	1
;mi	1
;ne	1
;sa	1
<*F	1
<5r	1
<^^	2
<^l	1
<er	1
<f	1
<la	1
<le	1
<ra	1
<t	1
<ye	1
>59	1
>Ty	1
>be	2
>en	2
>et	2
>gh	1
>ha	1
>me	1
>ni	1
>oe	1
>oo	1
?ee	1
?el	1
A	18
A(c	1
A9	1
AAR	2
ABA	1
ABB	1
ABR	1
ACC	1
ACK	2
ACM	1
ACT	1
ADJ	1
ADO	1
AEN	1
AES	1
AET	25
AIL	1
AIS	1
ALE	1
ALH	1
ALL	1
ALV	1
AMB	1
AMM	1
AMY	8
ANC	1
AND	2
ANF	1
ANG	1
ANO	3
ANS	25
ANT	5
ANU	1
API	1
ARB	1
ARC	1
ARE	4
ARI	1
ARO	3
ART	1
ARV	1
ARo	1
ASC	3
ASS	1
AST	1
ATA	1
ATC	1
ATE	8
ATI	1
ATO	1
AUR	1
AVI	1
AVU	1
AYA	1
AYO	2
Aan	1
Aar	13
Abd	3
Abr	2
Acc	5
Acf	1
Ach	6
Ack	24
Aco	1
Act	3
Ada	7
Adi	1
Adj	1
Adm	1
Adr	26
Adv	15
Ady	52
Aen	24
Aer	1
Aet	1
Aeu	1
AfU	2
Afa	1
Aga	5
Age	1
Agi	1
Agn	1
Agr	31
Agu	3
Ahn	1
Aie	1
Ais	1
Ala	10
Alb	3
Alc	16
Ald	2
Ale	9
Alf	3
Alh	1
Ali	8
Alj	1
All	7
Alm	46
Alo	3
Als	5
Ama	34
Amb	99
Amd	1
Ame	6
Amh	1
Ami	1
Aml	3
Amo	2
Amp	1
Ams	26
An	1
AnI	2
Ana	1
Anc	5
And	34
Ang	6
Anh	3
Ani	12
Anj	1
Anl	16
Ann	21
Ano	2
Ant	78
Anu	27
Ao	1
Apr	62
Aqu	1
ArU	1
Ara	7
Are	15
Ari	16
Arl	1
Arm	3
Arn	6
Aro	5
Arr	29
Art	1
Aru	1
Asa	2
Ase	1
Asn	1
Ass	49
Ast	2
AtU	1
Ata	1
Atc	148
Ate	2
Ato	2
Ats	1
Att	1
Auf	1
Aug	63
Auk	1
Ava	7
Ave	1
Axu	1
Ay	2
Aye	2
Ayj	3
AËT	1
B	8
B27	1
B61	1
BAB	1
BAC	2
BAR	1
BAS	1
BAT	2
BAY	1
BBA	1
BC	1
BEN	2
BHI	1
BO	5
BOD	1
BON	2
BOO	2
BOc	1
BRE	1
BRI	5
BRO	1
BYS	1
B^g	1
Bab	4
Bac	32
Bad	6
Bae	14
Baf	1
Bag	1
Bak	1
Bal	24
Bam	2
Ban	415
Bao	1
Bap	1
Bar	37
Bas	3
Bat	224
Bau	3
Bav	1
Baw	4
Bay	2
Bca	1
Bci	6
Bcu	1
Bec	8
Bed	3
Bee	2
Beh	2
Bel	13
Ben	72
Beq	1
Ber	78
Bes	4
Bet	1
Bew	1
Bfa	1
Bge	1
Bgm	1
Bha	1
Bia	18
Bic	1
Bid	5
Bie	6
Bil	4
Bim	12
Bin	18
Bis	1
Bit	1
Bk)	1
Bla	7
Ble	8
Bli	1
Blo	13
Bne	2
Bng	4
Boa	3
Boc	2
Bod	1
Boe	4
Bof	1
Bol	3
Bom	5
Bon	25
Boo	4
Bor	15
Bos	3
Bou	43
Bov	3
Bra	25
Bre	21
Bro	45
Bru	1
Bsm	1
Bta	2
Bue	4
Bur	3
But	1
Buy	14
By	8
Bym	1
C!h	1
C!o	11
C(m	1
C4h	1
CAC	1
CAE	1
CAM	10
CAN	1
CAP	1
CAR	4
CCA	1
CEs	2
CHI	1
CIS	1
CJo	1
CKE	2
CMY	1
COR	1
CTd	1
CUS	1
CXL	1
CaO	1
CaU	1
Cab	30
Cac	23
Cad	1
Cae	21
Caf	4
Cag	1
Caj	1
Cal	42
Cam	65
Can	49
Cap	190
Car	49
Cas	28
Cat	8
Cau	3
Cay	25
Cbe	2
Cbi	17
Cbm	1
Cbr	1
Ccy	1
Ceb	1
Cel	3
Cen	1
Cer	22
Ces	1
Cey	69
Cff	1
Cha	8
Che	89
Chi	322
Chm	2
Cho	50
Chr	60
Chy	7
Cib	11
Cie	2
Cil	3
Cin	5
Cio	4
Cit	2
Ck)	16
Ck>	2
Ckn	1
Cla	15
Cle	54
Cli	3
Clo	5
Clé	1
CoD	1
Cob	1
Coc	4
Cod	2
Coe	12
Cog	5
Coi	6
Col	60
Com	579
Con	738
Coo	7
Cop	5
Coq	1
Cor	30
Cos	28
Cot	11
Cou	27
Cpm	1
Cra	36
Cre	1
Cri	7
Cro	24
Cru	4
Cry	1
Cse	1
Csi	1
Cte	1
Cub	1
Cuc	1
Cum	1
Cuy	2
D	1
D'	62
D*0	1
D*E	3
D*h	1
D*i	1
D*p	1
DBn	1
DE	7
DEN	1
DER	2
DIE	1
DIT	1
DJA	1
DOM	4
DON	4
DRE	2
DRI	1
DRO	2
DS6	1
DTo	1
DVo	1
D^i	1
D^o	2
Dab	1
Dae	111
Dag	1
Dal	3
Dam	73
Dan	11
Dar	25
Dat	50
Dav	10
Day	1
Dc	1
Dck	1
Dde	7
De	205
DeD	1
Dec	56
Dee	25
Del	3
Den	311
Der	80
Des	63
Det	1
Dew	4
Dga	1
Dge	2
Dgh	2
Dgi	1
DiD	1
Dia	6
Die	53
Dig	1
Dil	2
Din	2
Dio	3
Dip	5
Dir	13
Dis	2
Dit	12
Diu	1
Do	3
Doa	1
Doc	8
Dod	9
Doe	2
Dol	16
Dom	38
Don	15
Doo	10
Dor	4
Dou	5
Dra	12
Dri	1
Dry	2
Dse	3
Dte	2
Dti	2
Dul	1
Dum	1
Dur	7
Dut	1
Duy	25
DÜD	1
Dès	1
E	883
E.E	6
E.s	1
E60	1
EA	2
EBA	1
EDR	2
EDg	1
EE	3
EES	2
EFF	3
EFP	1
EGI	1
EGO	1
EL	2
ELO	1
EMO	1
EMU	1
ENC	1
END	1
ENE	1
ENH	2
ENL	1
ENO	1
ENS	1
ENT	3
EQU	1
ERA	2
ERE	1
ERI	1
ERN	1
ERO	5
ESO	1
EST	1
ETO	1
EXT	1
EYH	1
EYN	1
EZE	1
E^I	1
Eat	1
Ebr	5
Ech	1
Ecl	1
Eco	2
Ed	398
Ed*	1
EdK	1
Ede	5
Edr	1
Eec	1
Eei	1
Een	34
Eer	14
Egm	14
Elg	2
Eli	1
Elj	2
Els	1
En	1
Enc	8
End	71
Eng	215
Enn	1
Ent	1
Eog	1
Equ	2
Era	19
Ere	2
Esc	3
Ese	1
Esl	1
Esp	8
Est	1
Etl	1
Eud	1
Eug	1
Eui	1
Eur	21
Euw	2
Eva	1
Eve	1
Ex	5
Exp	18
Eyl	1
Eyn	3
F	2
FAR	1
FER	2
FIA	1
FOo	1
FRA	10
FRE	2
F^g	1
Fac	1
Fai	1
Fak	1
Fal	1
Far	4
Fde	1
Feb	53
Fel	1
Fer	5
Fes	2
Fia	5
Fid	3
Fig	1
Fin	1
Fir	49
Fis	1
Fiu	1
For	24
Fou	2
Fra	63
Fre	5
Frè	1
Fto	1
GAN	1
GAR	1
GAT	1
GEN	1
GER	1
GIP	1
GOE	1
GON	4
GUL	1
G^n	1
GaH	1
Gab	11
Gac	12
Gae	3
Gai	2
Gak	3
Gal	123
Gam	72
Gan	11
Gap	39
Gar	50
Gas	27
Gat	2
Gav	1
Gay	10
Gbi	1
Gbo	1
Gbr	1
Geb	1
Gec	1
Ged	5
Gee	7
Geg	1
Gei	1
Gej	1
Gel	29
Gem	26
Gen	331
Gep	1
Ger	38
Ges	9
Get	1
Geu	15
Gev	1
Gey	7
Gfo	1
Gha	1
Ghe	15
Ghi	41
Gho	8
Ghr	4
Ght	1
Ghy	1
Ghé	1
Gi*	1
Gib	2
Gil	17
Gim	1
Gin	1
Git	1
Giï	1
Gla	6
Gle	5
Gml	1
Gno	7
Goa	66
Gob	1
Goc	2
God	159
Goe	29
Gog	1
Gol	14
Gom	111
Gon	129
Goo	5
Gop	1
Gor	16
Gos	5
Got	9
Gou	338
Goy	1
Gra	23
Gre	2
Gri	63
Gro	63
Grr	1
Gru	2
Gry	23
Gua	2
Gul	11
Gum	1
Gun	1
Gus	3
Gyl	1
Gys	1
Gèr	1
Gód	1
H	182
H)r	1
HAS	2
HCa	1
HGa	1
HHi	2
HIE	2
HIL	2
HIa	1
HNe	1
HON	2
HOS	1
HSp	1
HSu	1
HU	1
HYS	1
H^i	1
Haa	1
Hac	12
Had	23
Hae	35
Haf	3
Hag	6
Hah	1
Hai	2
Hal	18
Ham	54
Han	12
Har	45
Has	9
Hat	24
Hay	8
Hbe	1
Hbo	1
Hca	4
Hce	1
Hch	1
Hco	3
Hde	1
Heb	3
Hed	19
Hee	50
Hef	1
Hel	17
Hem	3
Hen	42
Her	19
Hes	1
Het	53
Heu	2
Hey	11
Hff	1
Hfl	4
Hfo	3
Hga	5
Hge	10
Hgo	1
Hgu	1
