en 	5440	48701	 lesen 	 brieven 	 gesanten 
de 	1230	22610	 de 	 vande 	 ende 
nde	1393	19721	 vande 	 ende 	 landen 
den	965	13727	 landen 	 hadden 	 geschieden 
er 	809	12536	 deser 	 hunner 	 syner 
end	861	12236	 ende 	 vriendelyck 	 volgende 
 de	278	11717	 deser 	 de 	 despecheren 
 ge	1826	11690	 gesanten 	 gelegentheyt 	 gediscoureert 
 en	55	8807	 en 	 ende 	 engelschen 
an 	200	8204	 van 	 oppercoopman 	 priaman 
 va	177	8145	 van 	 vande 	 vaertuyghen 
aer	643	8132	 naer 	 haer 	 waer 
van	104	7907	 van 	 vande 	 vanden 
et 	236	7863	 met 	 goet 	 raet 
te 	495	7637	 te 	 nochte 	 gemaeckte 
ver	1235	6898	 versocht 	 arriveren 	 over 
der	765	6718	 onder 	 der 	 sonder 
 da	221	6232	 dat 	 dancksegginge 	 dato 
 me	179	5851	 met 	 mede 	 meer 
 te	121	5749	 te 	 ter 	 tegen 
een	241	5649	 een 	 eenige 	 geen 
gen	899	5622	 gelegentheyt 	 soodanigen 	 volgende 
oor	545	5537	 antwoort 	 voor 	 door 
 co	632	5505	 contentement 	 conincx 	 commissaris 
ren	1069	5431	 despecheren 	 arriveren 	 monterende 
ten	839	5215	 gesanten 	 contentement 	 lasten 
 ve	962	5152	 versocht 	 verovert 	 verbleven 
ck 	665	5126	 vriendelyck 	 coninck 	 vastelyck 
ere	1133	5072	 despecheren 	 arriveren 	 monterende 
 ee	127	4687	 eerbiedigh 	 een 	 eenige 
 vo	340	4684	 voor 	 volgende 	 voorstadt 
eer	1235	4558	 gediscoureert 	 begeert 	 eerbiedigh 
and	447	4442	 vande 	 landen 	 d*eylanden 
ede	530	4437	 geschieden 	 sylieden 	 reede 
aen	487	4381	 maen 	 aengenomen 	 gedaene 
 wa	223	4374	 waer 	 waren 	 was 
 al	180	4320	 alchin 	 als 	 alreets 
ert	940	4304	 gediscoureert 	 begeert 	 vaertuyghen 
sch	801	4279	 geschieden 	 gescheyden 	 fluytschip 
 so	266	4259	 soodanigen 	 soude 	 solpher 
cke	824	4231	 rycke 	 bedenckelyck 	 oirsaecke 
 ma	462	4223	 maen 	 malacca 	 maer 
 in	290	4210	 in 	 inbeeldende 	 invaderen 
ers	749	4080	 versocht 	 persoon 	 immers 
met	39	4025	 met 	 (met 	 metale 
 we	271	4005	 westcust 	 wesen 	 weshalven 
cht	654	3940	 versocht 	 wichtmans 	 jacht 
 he	210	3879	 heeft 	 heer 	 het 
nt 	389	3793	 gunt 	 contentement 	 bharent 
voo	239	3522	 voor 	 sanivoort 	 voorstadt 
 be	846	3520	 begeert 	 belooflde 	 bemachtigen 
 ha	224	3407	 haer 	 hare 	 hadden 
