gram	frequency
ph	186
├Be	185
├Li	185
su	182
├H┤	182
lh	181
├ex	180
gu	178
├et	178
nv	177
├Gr	177
├'s┤	177
├To	176
be┤	175
bl	174
if	174
├t'┤	174
├Lo	173
├Am	173
tj	170
md	170
fl	170
├Sa	170
├p┤	168
tx┤	166
├po	165
├hy┤	164
ct┤	164
├In	163
tj┤	162
├Ke	160
ki	159
├ey┤	158
├ly	157
nb	156
├ri	156
├At	156
├wy	155
pe┤	154
oa┤	154
wy	153
├ie┤	153
ma┤	150
├am	150
tc┤	149
├fo	148
oh	148
pl	147
bo┤	147
ha┤	147
yr	147
eo	147
um	146
cq	144
├vl	144
nh	143
sa┤	143
tn	143
├»┤	142
dj	142
├Ju	140
├f┤	140
├ru	140
├Qu	140
eu┤	138
tl	137
la┤	136
fs┤	134
fd	134
├ec	134
├bh	134
tb	134
fa	133
ps	131
lo┤	131
├We	130
├cu	130
├yd	129
├tu	126
├Me	124
vr	122
├ys	121
├Op┤	121
ub	121
├mu	120
om┤	119
├Vo	119
├ol	118
├Sp	117
lj┤	117
ce┤	115
ey┤	115
├ap	114
├Ti	113
io┤	113
ja	113
├as	113
├Al	113
├Bo	112
do┤	111
├ki	110
yo	109
sz┤	109
dj┤	108
ri┤	108
ly┤	107
├wy┤	107
├ze	107
├Hi	106
├Pr	105
aa	105
bu	105
├fa	105
├Do	104
├Wi	102
├by	102
├Ad	101
go┤	100
lr	100
├ü┤	99
├Di	98
├Ce	97
├No	97
ty┤	97
vy	96
dy	96
├nu┤	96
by┤	95
uh	94
xp	94
rp	94
yo┤	93
ny┤	92
pd	92
cq┤	92
bt┤	92
rp┤	91
ja┤	91
├ft┤	91
ac┤	90
├Br	90
tv	90
hd	89
oa	89
├el	89
ii	89
ny	87
nj	86
lm	86
fg	85
ya┤	85
├Ar	85
up	85
um┤	83
ka	83
ek┤	82
ks	82
├af┤	82
td	82
mt	81
mo┤	81
├Pi	80
├Mi	80
dy┤	80
ym	80
tf	79
aw	79
ir┤	79
xa	78
├ye	78
├Cl	78
├Va	77
ei┤	77
ib	76
nr	76
hy┤	75
├Ki	75
iu	74
├Ve	74
gc	74
fo	73
├Cr	73
co┤	72
├gh	72
nf	72
hl	71
xc	71
├Gh	71
sm	70
ax	70
├Fr	69
ks┤	68
rl┤	68
ië	67
├uw	67
├On	67
sw	67
pu	66
fs	66
├Bi	66
kt	66
sn	64
├Au	64
├Ro	63
├Or	63
bs	62
dt	62
├ju	62
├Ap	62
├D'┤	62
ju	62
sh	61
ao	61
├Fi	61
tm	60
sk	60
au┤	60
ej	60
├da┤	60
├Fe	59
je┤	59
├Oc	59
kh	58
├Sy	57
ds	57
sd	57
├ce	57
mu	55
jo	55
bt	55
├zu	55
├Re	55
├Le	55
rm┤	55
gb	54
ex	54
├As	54
├av	54
├Ie┤	54
my	54
├u┤	54
ms┤	53
ue┤	52
├im	52
├Vl	51
├Vi	51
ps┤	50
├Ee	50
xe	50
├Tr	50
├fy	49
ep┤	49
├au	49
yp	48
├Sc	48
up┤	48
├Ol	48
ld┤	47
ga┤	47
├er	47
├Th	47
mr	47
yw	47
sj	47
vl	47
nm	46
ao┤	46
va┤	46
rf	46
iy	46
├pu	45
├em	45
├fi	45
sq	44
├fr	44
├Ou	44
eo┤	44
nj┤	44
gs	44
fy	44
├t┤	44
eê	44
├Op	44
od┤	43
ba┤	43
├wt┤	43
lw	42
├In┤	42
by	42
├M┤	42
yb	42
Ed┤	41
├'T┤	41
├Ac	40
├Ag	40
├sn	39
ic┤	39
kx┤	39
├na┤	38
├it	38
ed┤	38
├—┤	38
kj	38
├Ru	38
cx	37
Ua	37
├Tw	37
nq	37
├ie	37
├ef	36
RA	36
sy	36
ën	36
├Pu	36
mn	35
├ka	35
├Va┤	35
gn	35
AN	35
dm	35
pa┤	35
├r┤	35
rk	35
├g'	34
oy┤	34
uf	34
├Du	34
li┤	33
├ab	33
ko	33
ym┤	32
fk	32
mh	32
pg	32
kl	32
ul┤	31
├aj	31
sv	31
sr	31
├at	31
eé	31
├ul	30
ro┤	30
tp	30
├Hu	30
ux┤	30
├fe	30
├i┤	29
├Uy	29
├Lu	29
ën┤	29
├ai	29
├Bl	28
NS	28
├Ze	28
├St	28
├fu	28
i'	28
├sm	27
ng┤	27
yi	27
vu	27
├Ci	27
├ci	27
oc┤	27
AE	27
gl	27
Ue	26
LA	26
├Fo	26
├Ri	26
xt	26
├Ph	26
kr	26
ea┤	26
sb	26
├Ot	26
├Eu	26
rn┤	26
├Oo	26
ui┤	26
wt┤	25
hc	25
├is	25
ET┤	25
├Ni	25
SL	25
ob┤	25
├Ae	25
pk	24
├Sn	24
├Je	24
├TR	24
ua┤	24
├oi	24
├Gi	24
cs	24
├P┤	24
oj	23
├Ry	23
gu┤	23
ky	23
ti┤	23
sé┤	23
vo┤	23
├h┤	22
iw	22
├ag	22
dl	22
ml	22
nk	22
├Bu	22
lb	22
├Ul	22
ni┤	22
├Er	21
ok	21
├'┤	21
lj	21
cs┤	21
ka┤	21
fi┤	21
├eo	21
hm	21
├ev	21
aj	21
xd	20
yh	20
fu	20
├Wo	20
SS	20
dc	20
py	20
ef┤	20
lp┤	19
├Om	19
├wr	19
'a	19
ze	19
├Iq	19
kb	19
fr	19
IS	18
├A┤	18
yp┤	18
bj┤	18
├Sw	18
SI	18
fe┤	18
├Ka	18
├Gu	18
├Ex	18
lm┤	17
IV	17
ON	17
'i	17
nc┤	17
├MI	17
mc	17
cn	17
no┤	17
eë	17
cy	17
├ko	17
VE┤	16
├yv	16
├Wt┤	16
rq	16
├oy	16
├zo	16
├IS┤	16
gm	16
├Wy	16
├Ic	16
xt┤	16
dw	16
fb	16
hg	16
so┤	16
├ob	16
├vu	16
├Zu	15
├Dr	15
uy┤	15
ln	15
yr┤	15
mg	15
├%┤	15
ji	15
├m┤	15
├Nu	15
├zy┤	15
im┤	15
├rh	14
├Aa	14
├eb	14
'e	14
ii┤	14
kk	14
├oc	14
dh	14
├th┤	14
éy	14
lk	14
├Eg	14
pb	14
gt	14
lf┤	14
ho┤	14
po┤	14
wr	14
├V┤	13
eh┤	13
't┤	13
's	13
kj┤	13
rj	13
Vi┤	13
bh	13
├za	13
├Uw┤	13
├St┤	13
ix	13
├ed	13
ér	13
êy	13
Ui	13
e'	13
├Im	13
fc	13
├Uw	13
wu	13
np	13
-G	12
├K┤	12
ix┤	12
├zi	12
iï	12
yu	12
di┤	12
gf	12
AT	12
ab┤	12
├ui	12
├ph	12
├N┤	12
if┤	12
├FR	12
├Vi┤	12
sj┤	12
êm	12
bj	12
hv	12
si┤	12
t-	12
r-	12
├Om┤	11
uo	11
hn	11
├pi┤	11
EN	11
tk	11
RE	11
uk	11
Ge	11
én┤	11
├Vr	11
├Ts	11
d'	11
├e┤	11
├py	11
sf	11
wa┤	11
ss┤	11
nu┤	11
gs┤	11
oi┤	11
├es	11
├'l┤	11
km	11
├ts	11
ku	11
CA	11
├Gl	10
├Yi	10
yk	10
fa┤	10
├Ën	10
cj	10
êx	10
├ei	10
ai┤	10
├Tu	10
Co	10
hb	10
AM	10
├ym	10
├Iw	10
za	10
├l┤	10
ER┤	10
├Is	10
AR	10
ER	10
Ue┤	10
lx┤	9
gj┤	9
├gl	9
├Pl	9
Vs┤	8
ws┤	8
├kl	7
├Gn	7
├cn	7
├rf┤	6
├BR	6
├kr	6
ds┤	5
rk┤	5
ph┤	5
├Vs┤	5
├dw	5
├Sl	5
xs┤	5
gt┤	5
rg┤	4
├sj	4
FF┤	4
├Sr┤	3
js┤	3
kc┤	3
lc┤	3
lk┤	3
├Wh	3
├kn	3
jn┤	3
pp┤	3
├PH	3
NS┤	2
├TS	2
sd┤	2
├SS┤	2
hj┤	2
Ts┤	2
Ls┤	2
rb┤	2
Dt┤	2
pj┤	2
gd┤	2
DJ┤	2
├ts┤	2
├ff┤	2
├kh	2
├KH	1
vs┤	1
hn┤	1
├SP	1
ST┤	1
├DR	1
├Bh	1
rf┤	1
HN┤	1
CT┤	1
DS┤	1
xz┤	1
├ST	1
Gs┤	1
├pr┤	1
tv┤	1
├Pr┤	1
Ds┤	1
mj┤	1
├TH	1
Ms┤	1
├Mr┤	1
lv┤	1
├Kh	1
├BH	1
jr┤	1
├pp┤	1
├Sm	1
sr┤	1
├PL	1
rw┤	1
