champan	56
geraeckt	56
resident	56
trouwen	56
vyanden	56
Goa	55
Masulipatnam	55
hoenders	55
indigo	55
landt	55
saecke	55
uytgesondert	55
verre	55
Ie	54
Moor	54
September	54
gelycx	54
nat	54
swarte	54
tol	54
u	54
gelaten	53
gemelt	53
soodanigen	53
swart	53
Het	52
Palimbangh	52
catty	52
gemant	52
gestaen	52
niemant	52
vaerthuych	52
Ady	51
November	51
bos	51
cruyt	51
eerste	51
eygen	51
genaemt	51
geschiet	51
geschut	51
kinderen	51
nieuwe	51
vruntschap	51
Christen	50
Lissidj	50
Priaman	50
continghs	50
cop	50
eysch	50
geresolveert	50
gevoelen	50
myne	50
negrye	50
stondt	50
vader	50
vaertuygh	50
October	49
Van	49
behouden	49
geniet	49
gereet	49
jaren	49
keer	49
moste	49
pangeran	49
saken	49
tydinge	49
Cleyn	48
aent	48
bequam	48
dage	48
dagh	48
hooft	48
logie	48
mach	48
mei	48
slecht	48
verlies	48
wech	48
bhaer	47
crygen	47
ditto	47
gaff	47
haest	47
halven	47
hant	47
langh	47
loop	47
monteren	47
nacht	47
oliphant	47
oncosten	47
pryse	47
sterck	47
tail	47
volcht	47
Chinees	46
Firando	46
gene	46
gevoert	46
ontfangen	46
oorloch	46
pannen	46
rest	46
sints	46
steen	46
July	45
Siam	45
adviseert	45
canon	45
gelevert	45
hooffden	45
lagen	45
porceleyn	45
present	45
salpeter	45
soodanige	45
Japanse	44
Syn	44
allen	44
bekent	44
daeghs	44
gehaelt	44
hondert	44
rouwe	44
sober	44
t	44
uwe	44
wt	44
Banda	43
Des	43
Keyserlycke	43
Palliacatta	43
Waterlant	43
antwoorde	43
jonghste	43
pitjes	43
rivier	43
verricht	43
voet	43
Choromandel	42
M	42
Pamalangh	42
Pera	42
betaelen	42
bracht	42
compste	42
comyn	42
gebruyck	42
inhoude	42
kist	42
maent	42
omtrent	42
schade	42
tyde	42
weynige	42
'T	41
Cap	41
Hamsia	41
corcorren	41
eenelyck	41
gelycke	41
sake	41
schoon	41
tegens	41
fort	40
gelast	40
genootsaeckt	40
geseyde	40
geseyt	40
langen	40
liet	40
lot	40
noyt	40
retour	40
schenen	40
wege	40
behoorlyck	39
caneel	39
comptoir	39
cort	39
gebleven	39
gemoet	39
getrocken	39
gewelt	39
hebt	39
malen	39
onderdanen	39
roode	39
stant	39
strand	39
wyle	39
India	38
Keyser	38
Ten	38
^	38
advance	38
arriveren	38
bahar	38
betaelt	38
gehadt	38
meeste	38
ongeveer	38
root	38
varen	38
vinden	38
—	38
Berckelangh	37
Engelse	37
Maccassar	37
Pangeran	37
Sultan	37
aengenaem	37
ambassadeurs	37
genouch	37
halen	37
hulpe	37
lande	37
swaer	37
tracht	37
twyffel	37
yets	37
Chinanna	36
Februarj	36
Portugese	36
Va	36
beducht	36
capiteyn	36
geheel	36
goelonghs	36
qualyck	36
scheyden	36
slaen	36
steecken	36
vorder	36
wensch	36
Gent	35
Juny	35
Maert	35
alderhande	35
behooren	35
boom	35
comste	35
fortresse	35
gevalle	35
guarnisoen	35
hart	35
helpen	35
item	35
kennisse	35
lieden	35
negry	35
r	35
storm	35
weege	35
Damac	34
Dato	34
Die	34
Onrust	34
Vorders	34
Westcust	34
affscheyt	34
audiëntie	34
gecregen	34
geleyt	34
gelicht	34
geloopen	34
gevangens	34
jaerlycx	34
jonghst	34
kennen	34
loot	34
ly	34
myl	34
redelyck	34
soecken	34
vrunden	34
waerdye	34
zyne	34
/*	33
Gardenys	33
Januarj	33
Japans	33
capitael	33
drye	33
eet	33
guinees	33
hoogh	33
soodanich	33
trecken	33
«	33
Gamron	32
Javaense	32
Met	32
Quimelaha	32
Twist	32
betalinge	32
cento	32
gaven	32
gerucht	32
gevictualieert	32
halff	32
her	32
hove	32
langhs	32
maents	32
menschen	32
negotie	32
penningen	32
reedelyck	32
resolutie	32
schicken	32
Colombo	31
God	31
adsistent	31
aerde	31
antwoort	31
dooden	31
gead	31
gelieve	31
heere	31
hield	31
jegenwoordich	31
nieuw	31
oorsaecke	31
rode	31
sandelhout	31
schoot	31
schryvens	31
schuyt	31
spreecken	31
tyts	31
verlooren	31
viseert	31
wint	31
wyse	31
Grissick	30
Keysers	30
Macao	30
betalen	30
chaloup	30
cleden	30
gebreck	30
gegaen	30
gescheept	30
geseth	30
getal	30
getracht	30
morgens	30
primo	30
regent	30
somma	30
soodanigh	30
specie	30
stil	30
stont	30
uyl	30
vast	30
vereeringe	30
verovert	30
vlucht	30
Cabo	29
Caron	29
Manilha	29
