gram	#words	#occurrences	example1	example2	example3
nde┤	718	12973	vande	ende	volgende
den┤	822	9067	landen	hadden	geschieden
├end	22	7738	ende	endé	endc
nde	751	6854	landen	vriendelyck	d*eylanden
├van┤	1	5781	van
├ver	850	4460	versocht	verovert	verbleven
aer┤	122	4455	naer	haer	waer
end	857	4448	vriendelyck	volgende	monterende
ten┤	657	4106	gesanten	lasten	Johoriten
ere	1067	4070	despecheren	arriveren	monterende
ren┤	803	3961	despecheren	arriveren	mueren
├met┤	1	3871	met
der	590	3761	invaderen	Nederlantsen	Nederlanfsche
aer	533	3629	vaertuyghen	daerenboven	verclaert
├den┤	1	3425	den
├voo	209	3390	voor	voorstadt	voorspoedige
and	414	3288	vande	landen	d*eylanden
cke	674	3287	bedenckelyck	seecker	schicken
oor	499	3225	antwoort	Sanivoort	voorstadt
eer	1152	3032	gediscoureert	begeert	genegotieert
├een┤	1	3031	een
gen┤	515	2982	soodanigen	bemachtigen	genegen
ede	453	2937	geschieden	sylieden	reden
ert┤	708	2606	gediscoureert	begeert	genegotieert
sch	507	2460	geschieden	gescheyden	fluytschip
len┤	368	2443	principalen	sullen	Johorilen
ers	476	2437	versocht	persoon	versien
ken┤	455	2379	schicken	geraken	verlrocken
├dat┤	1	2368	dat
ese	280	2355	lesen	deser	toegeseyt
lyc	580	2338	vriendelyck	vastelyck	bedenckelyck
nge	548	2291	aengenomen	aengetogen	erlangen
├dae	87	2279	daer	daet	daerenboven
ing	615	2209	dancksegginge	tingangh	tydingh
cht┤	292	2202	versocht	jacht	Lucht
ege	382	2184	gelegentheyt	toegeseyt	begeert
sen┤	340	2174	lesen	Portugiesen	Nederlantsen
eck	369	2115	gemaeckte	oirsaecke	seecker
rde	298	2094	meerdere	vorderen	worden
der┤	161	2064	onder	sonder	minder
oor┤	38	2058	voor	door	n^yoor
ste	446	2051	lasten	assisteeren	presteren
men┤	206	2045	aengenomen	opgenomen	becomen
nen┤	275	2043	(synen	binnen	t*zynen
oud	108	2036	soude	opgehouden	huyshouden
erd	428	2005	vermaerde	geconcipieerde	geprepareerde
ang	422	1934	Bangry	tingangh	erlangen
eed	185	1931	reede	vreede	bevreedingh
ond	261	1869	sonder	verliondt	gevonden
├nie	28	1826	niet	nieuwe	niettegenstaende
gen	331	1821	gelegentheyt	volgende	misnoegende
ven┤	206	1815	brieven	verbleven	daerenboven
├syn┤	1	1813	syn
ach	272	1799	jacht	bemachtigen	verwachten
cht	379	1751	Wichtmans	bemachtigen	nochte
ely	420	1745	vriendelyck	vastelyck	bedenckelyck
ver	385	1726	arriveren	verovert	Gouverneurs
ert	253	1715	vaertuyghen	herrewaerts	derrewaerts
iet┤	30	1690	niet	.niet	(niet
├gel	161	1659	gelegentheyt	geladen	gelandt
add	28	1653	hadden	hadde	fiadden
yck┤	336	1649	vriendelyck	vastelyck	bedenckelyck
ers┤	294	1647	immers	meesters	musquettiers
ant┤	148	1643	stant	want	diamant
ome	150	1642	aengenomen	opgenomen	becomen
