gram	#words	#occurrences	example1	example2	example3
ig	606	2223	soodanigen	ootmoedige	eerbiedigh
or┤	68	2208	voor	door	n^yoor
se┤	355	2207	onse	dese	vreese
gh┤	534	2204	eerbiedigh	tingangh	tydingh
da	314	2196	soodanigen	gedane	gedaene
it	428	2169	ditto	Johoriten	ditlos
yn	273	2147	syner	zynde	zyne
ol	447	2116	volgende	solpher	pistoolschoot
as	476	2092	lasten	ballast	vastelyck
ss	538	2084	Grissee	Commissaris	assisteeren
├to	173	2070	toegeseyt	tot	tol
├do	139	2063	door	doen	dooden
tr	358	2024	Sumatra	contrarie	wantrouwige
├re	298	2006	reede	reden	redresseren
ns┤	349	1983	Wichtmans	Grraans	doorgaens
ls┤	130	1970	(als	als	herrewaerls
as┤	142	1950	was	Malaccas	Sumalras
li	736	1947	sylieden	opclimmende	verliondt
ts	432	1918	fluytschip	Nederlantsen	gantsch
dd	83	1858	hadden	middel	bemiddelen
ho	458	1858	pistoolschoot	Johor	bethoont
├ni	52	1858	niet	nieuwe	niettegenstaende
ot┤	80	1843	pistoolschoot	tot	(tot
am	480	1820	lamboe	Priaman	campher
re┤	206	1805	hare	meerdere	andere
├se	162	1805	secunda	seer	selver
├d'┤	1	1796	d'
nn	284	1793	hunner	daerinne	geordonneert
si	458	1790	assisteeren	assistentie	versien
lv	151	1787	selver	deselve	weshalven
ht	398	1782	Wichtmans	bemachtigen	nochte
di	649	1781	gediscoureert	ootmoedige	eerbiedigh
be	378	1770	hebben	inbeeldende	liberale
ve┤	99	1769	deselve	successive	aencleve
ha	491	1764	bhaer	Bharent	schatten
├la	203	1748	landen	lamboe	lasten
├op┤	1	1748	op
we	372	1731	beweghen	mistrouwen	juweelen
├in	259	1712	inbeeldende	invaderen	informatie
is	512	1674	gediscoureert	Grissee	pistoolschoot
├st	231	1671	stant	staét	staat
ga	255	1667	tingangh	legatie	prerogaliven
rl	411	1656	Nederlantsen	verliondt	corlelyck
ld	251	1649	belooflde	inbeeldende	voldoeningh
├sc	298	1622	schatten	schicken	schrift
oo┤	15	1581	soo	alsoo	zoo
├Ma	269	1578	Maen	Malacca	May
ae┤	24	1561	Nae	nae	(nae
hi	264	1525	geschieden	fluytschip	Atchin
st┤	186	1503	ballast	Westcust	last
├Co	147	1493	Conincx	Commissaris	Comp
ag	317	1482	Ragiepour	dagh	mueragie
lc	182	1472	Alchin	sulcx	Alchinse
lo	514	1468	belooflde	glorieusen	sloulelyck
ap	275	1444	gecapleerl	haperingh	Indrapoura
op	265	1436	Oppercoopman	Coopman	coppen
ul	281	1431	sulcx	sullen	speculatien
tt	413	1427	ditto	schatten	facetten
es┤	223	1408	des	Des	Portugees
ne┤	200	1387	zyne	gedane	gedaene
├'t┤	1	1380	't
├uy	182	1360	uyl	uytierste	uyt
ts┤	187	1357	herrewaerts	alreets	Westcusts
rc	308	1325	Oppercoopman	verclaert	verclyninge
le┤	243	1288	conquesle	liberale	accommodabelsle
eu	297	1286	glorieusen	periculeusen	faveur
├an	44	1284	antwoort	ander	andere
pa	269	1254	principalen	geprepareerde	Spaenschen
ot	298	1254	ootmoedige	genegotieert	protecteeren
rn	175	1254	vernielight	Gouverneurs	Gouverneur
├go	128	1246	goet	goederen	goede
ep	304	1243	peper	geprepareerde	geprepareerde
yd	245	1238	gescheyden	tydingh	wyderingh
mm	240	1228	Commissaris	opclimmende	immers
sa	351	1215	gesanten	Commissaris	genoechsame
ef	226	1209	heeft	brieff	reformatie
ew	234	1196	beweghen	herrewaerts	bewogen
wa	258	1196	herrewaerts	verwachten	herrewaerls
├te	90	1186	ter	tegen	ten
yt	328	1183	fluytschip	buyten	uytierste
├pa	173	1175	partye	parthye	paerden
ff	393	1170	offle	affcortinge	geaffligeert
├mo	142	1162	monterende	mochten	motie
il	378	1158	Johorilen	previlegien	verwildert
to	338	1156	pistoolschoot	(tot	aengetogen
vo	262	1145	Sanivoort	gevolge	gevonden
├ca	226	1110	campher	canonschoot	capileyn
gh	408	1106	vaertuyghen	brenght	beweghen
├oo	76	1104	ootmoedige	oock	oorloge
bb	54	1103	hebben	hebbende	schobbejacken
├ho	181	1101	hoogh	hooghslen	hoorden
ke┤	217	1090	rycke	oirsaecke	Welcke
od	189	1085	soodanigen	dooden	accommodabelsle
ua	185	1082	delinquanlen	avantguarde	guarde
tu	207	1081	vaertuyghen	Portugiesen	20sturx
na	361	1080	dominatie	(nae	regenachtigh
├hu	57	1061	hunner	hun	hulpe
ea	144	1048	realen	reacl	reael
├wi	76	1046	wierl	wierden	wiert
ys	218	1046	huyshouden	geëyscht	huysvrouwe
├om┤	1	1034	om
uc	283	1018	gereduceerl	successive	successeur
rg	294	1016	sorgende	doorgaens	naergelaten
├sa	106	1012	sal	samen	salvo
├mi	92	1001	misnoegende	minder	mishaeght
va	249	988	invaderen	advance	(vande
rr	212	985	arriveren	herrewaerts	Grraans
mb	208	983	lamboe	combineren	ambassaten
pp	172	972	Oppercoopman	apprehenlie	apparent
├su	109	969	substantie	sulcx	sullen
├ov	160	961	over	overleden	overvloet
├Ja	93	957	Jan	Jacob	Javaense
rm	224	956	vermaerde	firmalie	reformatie
├ja	48	951	jacht	jaerlycx	jare
us	308	948	Westcust	excuseert	glorieusen
├pr	195	940	princen	principalen	presteren
ur	340	940	gediscoureert	geproccureert	Gouverneurs
├cl	101	919	cleyn	cleynoilien	cleyne
ca	263	906	Malaccas	gecapleerl	occasie
ls	173	905	pistoolschoot	accommodabelsle	Iholsvryheyt
├no	95	901	nochte	noch	noodige
ys┤	102	899	rys	prys	advys
lt	156	896	gedeelte	gemelte	beseltinge
├by┤	1	893	by
dt┤	150	888	gelandt	voorstadt	landt
├E┤	1	883	E
lu	207	879	fluytschip	resolutie	sluckjens
├Go	102	879	Gouverneurs	Gouverneur	Goninck
├of	30	878	off	offle	ofte
ry	226	873	Iholsvryheyt	verryckt	prys
├op	203	863	opclimmende	opgehouden	opgenomen
ff┤	83	862	brieff	off	aff
bo	278	860	lamboe	verbont	daerenboven
os	265	825	malroose	posten	Composlel
eh	194	819	opgehouden	gehoorsaemheyl	apprehenlie
on┤	152	816	persoon	Symon	(alsschoon
ur┤	62	813	faveur	Gouverneur	successeur
├gr	75	793	groeten	groolen	grooten
ru	218	792	vrunischap	gecorumpeert	barus
ov	123	791	verovert	daerenboven	rooven
├vr	152	786	vriendelyck	vreese	vrunischap
