gram	#words	#occurrences	example1	example2	example3
nde┤	718	12973	vande	ende	volgende
den┤	822	9067	landen	hadden	geschieden
├van┤	1	5781	van
aer┤	122	4455	naer	haer	waer
ten┤	657	4106	gesanten	lasten	Johoriten
ren┤	803	3961	despecheren	arriveren	mueren
├met┤	1	3871	met
├den┤	1	3425	den
├een┤	1	3031	een
gen┤	515	2982	soodanigen	bemachtigen	genegen
ert┤	708	2606	gediscoureert	begeert	genegotieert
len┤	368	2443	principalen	sullen	Johorilen
ken┤	455	2379	schicken	geraken	verlrocken
├dat┤	1	2368	dat
cht┤	292	2202	versocht	jacht	Lucht
sen┤	340	2174	lesen	Portugiesen	Nederlantsen
der┤	161	2064	onder	sonder	minder
oor┤	38	2058	voor	door	n^yoor
men┤	206	2045	aengenomen	opgenomen	becomen
nen┤	275	2043	(synen	binnen	t*zynen
ven┤	206	1815	brieven	verbleven	daerenboven
├syn┤	1	1813	syn
iet┤	30	1690	niet	.niet	(niet
yck┤	336	1649	vriendelyck	vastelyck	bedenckelyck
ers┤	294	1647	immers	meesters	musquettiers
ant┤	148	1643	stant	want	diamant
├als┤	1	1627	als
├was┤	1	1552	was
ede┤	88	1488	reede	mede	vreede
├nae┤	1	1432	nae
ens┤	232	1421	doorgaens	Meulens	Courtens
ent┤	167	1384	contentement	Bharent	dient
ngh┤	313	1368	tingangh	tydingh	weygeringh
├tot┤	1	1304	tot
pen┤	191	1272	geworpen	coppen	troupen
├die┤	1	1258	die
och┤	25	1183	noch	doch	hooch
eer┤	53	1180	Meer	heer	seer
├het┤	1	1137	het
├aen┤	1	1136	aen
lve┤	28	1101	deselve	selve	hetselve
├soo┤	1	1097	soo
ude┤	36	1060	soude	goude	oude
ere┤	98	1036	meerdere	andere	Meere
eyt┤	302	1024	gelegentheyt	toegeseyt	Iholsvryheyt
aen┤	115	1008	Maen	gedaen	gaen
ien┤	202	991	speculatien	preminenlien	versien
cke┤	192	983	rycke	oirsaecke	Welcke
ige┤	132	977	ootmoedige	wantrouwige	voorspoedige
nge┤	244	900	dancksegginge	achtinge	verclyninge
tie┤	202	877	legatie	substantie	assistentie
ock┤	35	863	oock	Cock	vertrock
nck┤	54	855	Coninck	Goninck	voortganck
ver┤	35	826	over	selver	Over
ich┤	163	807	zich	sich	eenich
nse┤	57	795	onse	Alchinse	Javaense
oen┤	44	751	doen	alsdoen	voldoen
een┤	49	751	geen	alleen	scheen
eel┤	51	748	veel	continueel	Gasteel
eur┤	39	741	faveur	Gouverneur	successeur
├uyt┤	1	723	uyt
dde┤	11	713	hadde	badde	bidde
ter┤	109	670	Planter	water	echter
est┤	47	670	naest	metterhaest	meest
ael┤	104	665	reael	eenmael	Generael
omp┤	16	657	Comp	comp	romp
fte┤	17	651	ofte	(ofte	geliefte
ckt┤	109	639	verryckt	denckt	versterckt
├hun┤	1	636	hun
ste┤	141	631	laetste	eerste	uytierste
lle┤	43	626	bataille	volle	alle
├man┤	1	605	man
elt┤	140	594	hielt	gestelt	velt
