gram	#words	#occurrences	example1	example2	example3
ors┤	17	564	voors	Voors	Mindonaors
├der┤	1	541	der
lte┤	24	532	gedeelte	gemelte	faulte
├wel┤	1	531	wel
ben┤	15	528	hebben	gantscben	heltben
ier┤	45	515	hier	barbier	dier
ene┤	101	514	gedaene	gemeene	eene
├ten┤	1	501	ten
yde┤	54	488	tyde	noortzyde	zuytzyde
├rys┤	1	474	rys
rde┤	147	474	vermaerde	geconcipieerde	geprepareerde
aet┤	73	464	raet	daet	slaet
igh┤	134	463	eerbiedigh	gunstigh	onverslandigh
ort┤	62	455	antwoort	Sanivoort	cort
lck┤	32	449	welck	volck	hetwelck
ato┤	7	433	dato	Dato	Rato
├des┤	1	432	des
rts┤	43	432	herrewaerts	derrewaerts	Herberts
mme┤	26	430	waeromme	omme	somme
ghs┤	58	425	tinganghs	daeghs	oorloghs
yne┤	18	417	zyne	syne	Syne
├hem┤	1	416	hem
out┤	58	414	hout	zout	sout
eft┤	21	412	heeft	geeft	gelieft
man┤	51	412	Oppercoopman	Priaman	Coopman
are┤	35	407	hare	jare	ware
ese┤	42	404	dese	vreese	Dese
eve┤	22	403	aencleve	gelieve	geve
ker┤	70	393	seecker	suycker	stercker
oot┤	44	390	pistoolschoot	canonschoot	cloot
ote┤	12	387	vlote	groote	overgroote
hte┤	85	383	nochte	mochte	geslaghte
├int┤	1	382	int
lcx┤	9	381	sulcx	zulcx	oversulcx
├ick┤	1	375	ick
per┤	25	367	peper	l}eper	Coper
├sal┤	1	366	sal
soo┤	6	365	alsoo	(soo	(alsoo
eck┤	54	349	Draeck	vertreck	gebreck
ndt┤	75	338	gelandt	landt	verliondt
eff┤	16	337	brieff	slaeff	bleeff
hip┤	11	333	fluytschip	schip	fluyischip
its┤	15	328	vermits	mits	(vermits
├had┤	1	327	had
eyn┤	29	321	cleyn	capileyn	capiteyn
uyt┤	43	321	overluyt	buscruyt	fluyt
adt┤	19	318	voorstadt	stadt	sladt
├ter┤	1	317	ter
├May┤	1	314	May
nne┤	38	307	daerinne	Minne	hunne
cca┤	22	301	Malacca	jtfalacca	Halacca
├tyt┤	1	300	tyt
oet┤	34	299	goet	overvloet	gegroet
├Den┤	1	294	Den
tam┤	6	276	Bantam	Negapatam	Masilipatam
tse┤	33	270	gantse	Nederlantse	Maleytse
ber┤	20	268	September	Tenimber	sober
dat┤	16	259	naedat	omdat	suicxdat
wen┤	46	258	mistrouwen	vrouwen	bouwen
ser┤	26	257	deser	onser	yser
ets┤	31	257	alreets	musqüets	legerplaets
ger┤	56	257	leger	langer	leeger
hen┤	49	255	vaertuyghen	beweghen	Spaenschen
col┤	5	254	picol	Palicol	Hpicol
del┤	31	241	middel	handel	peperhandel
ale┤	45	239	liberale	metale	tale
els┤	76	237	Generaels	plaels	generaels
gie┤	47	234	logie	mueragie	Lagie
├ons┤	1	233	ons
├wat┤	1	232	wat
tye┤	4	227	partye	en*pertye	pertye
ast┤	23	224	ballast	last	gelast
ont┤	48	221	verbont	bethoont	gethoont
ele┤	52	220	veele	naturele	artiflciele
ara┤	30	218	Nara	Japara	Tamara
van┤	23	215	hiervan	waervan	daervan
rie┤	21	214	contrarie	drie	victorie
pan┤	10	214	chiampan	champan	Japan
sch┤	27	211	gantsch	gaiUsch	ganlsch
├dan┤	1	210	dan
ght┤	83	201	brenght	mishaeght	vernielight
ees┤	34	200	Portugees	Chinees	vlees
lde┤	44	197	belooflde	gehandelde	gelde
000┤	35	197	22000	2000	1000
wee┤	5	196	twee	Twee	vordere.twee
ust┤	25	190	Westcust	lust	bewust
├off┤	1	188	off
├hoe┤	1	188	hoe
che┤	74	185	Nederlanfsche	valsche	gantsche
yse┤	12	185	reyse	huyse	wyse
yen┤	65	184	musquetteryen	luyen	parthyen
ach┤	32	183	dach	middach	mach
les┤	14	182	alles	vanalles	Gilles
nts┤	39	180	geensints	avonts	Hollants
omt┤	14	170	gedroomt	verwellecomt	incomt
dre┤	9	169	ordre	metordre	Saladre
oon┤	27	166	persoon	(alsschoon	throon
rck┤	35	166	facetwerck	kerck	werck
sse┤	47	165	sawasse	casse	kennisse
├stx┤	1	164	stx
rop┤	13	163	daerop	corop	waerop
via┤	5	158	Batavia	Pavia	Silvia
urs┤	25	155	Gouverneurs	ingenieurs	gouverneurs
├toe┤	1	155	toe
uwe┤	23	152	nieuwe	huysvrouwe	vrouwe
rye┤	24	152	batterye	schootvrye	vrye
tta┤	23	152	Zuratta	Palliacatta	Cotta
bbe┤	4	150	hebbe	Csiobbe	bebbe
ans┤	40	149	Wichtmans	Grraans	Japans
nam┤	31	149	Nelmonam	voornam	Sousounam
uck┤	37	149	Paduck	ongeluck	affbreuck
├etc┤	1	148	etc
├men┤	1	147	men
bon┤	16	147	Cherrebon	Cherbon	Gherrebon
eth┤	33	146	gebeth	beleth	ontseth
ycx┤	21	145	jaerlycx	gelycx	dagelycx
ade┤	31	144	armade	grade	rade
ode┤	21	140	Gode	doode	roode
ive┤	18	138	successive	Missive	missive
aem┤	29	136	naem	aengenaem	bequaem
erd┤	14	136	wierd	paerd	vsrierd
ina┤	19	135	Amboina	Battachina	Mominina
ris┤	27	133	Commissaris	Secretaris	commissaris
├myn┤	1	133	myn
hap┤	33	132	vrunischap	vruntschap	maechschap
uan┤	15	132	Tuan	Lampouan	Bouan
toe┤	13	131	daertoe	rechttoe	waertoe
dia┤	29	126	Sibederadia	India	Bidia
ick┤	31	125	voick	chryghsvoick	weick
ond┤	24	123	bevond	aenstond	zond
ack┤	47	121	krack	sawack	swack
uys┤	33	121	huys	quansuys	huerhuys
ffs┤	8	119	vergeeffs	desselffs	selffs
rom┤	7	119	wederom	daerom	waerom
├100┤	1	119	100
├dit┤	1	119	dit
hin┤	8	118	Atchin	Alchin	thin
rys┤	12	117	prys	mourys	virys
eet┤	23	117	gereet	discreet	weet
tte┤	30	116	witte	Leliatte	onnutte
emt┤	23	115	geraemt	betaemt	bctaemt
rte┤	22	114	swarte	corte	duerte
hye┤	3	113	parthye	perthye	parlhye
├zyn┤	1	112	zyn
├Soo┤	1	112	Soo
nte┤	32	106	bonte	gesteente	contentemente
nce┤	19	105	advance	prince	d*advance
sia┤	18	105	Rassia	Parsia	Hamsia
sar┤	15	105	Gesar	Maccassar	Modasar
agh┤	24	104	dagh	aenslagh	donderslagh
ogh┤	12	103	hoogh	Hoogh	dogh
oft┤	16	102	Opperhooft	hooft	opperhooft
har┤	13	101	sabandhar	bahar	Mohar
oda┤	9	100	anachoda	nachoda	anacboda
arj┤	15	100	Bacarj	Baoarj	Tanassarj
rst┤	9	97	eerst	Eerst	adelborst
odt┤	6	97	Lamodt	Godt	verbodt
chs┤	18	96	achtermiddachs	daechs	eerstdaechs
gal┤	4	96	Tegal	SvanTegal	Cingal
gge┤	8	95	rugge	segge	brugge
ttj┤	12	95	Gouserattj	Pouattj	Pattj
mbo┤	9	94	Negombo	Colombo	Columbo
ran┤	7	94	pangeran	daenran	Noran
wel┤	18	93	alhoewel	hoewel	soowel
rse┤	27	93	Johorse	schaerse	Maccasserse
oop┤	16	91	loop	opcoop	hoop
eit┤	7	91	vermeit	geit	geweygeit
era┤	23	91	Peera	Indrapoera	Pera
ion┤	9	91	gilion	gillion	gelion
ege┤	18	90	voege	wege	Goegoege
├Jan┤	1	87	Jan
tyt┤	8	87	altyt	mettertyt	metlertyt
uam┤	12	87	quam	bequam	maerbequam
ayo┤	7	87	Durramayo	Dermayo	Payo
boe┤	7	85	lamboe	bamboe	Lamboe
dja┤	13	85	Maradja	Radja	Singadja
ncx┤	8	84	Conincx	*sConincx	Gonincx
aes┤	24	84	Haes	soulaes	Nicolaes
├vry┤	1	84	vry
die┤	20	83	(die	padie	remedie
sie┤	25	83	occasie	intermissie	naesie
ake┤	6	83	sake	oorsake	oirsake
kte┤	23	82	gemaeckte	vuylesieckte	sieckte
lon┤	12	82	Ceylon	Ccylon	Geylon
ych┤	11	82	vaertuych	getuych	vaerthuych
ana┤	13	81	Laxamana	Endrabhana	Succadana
rre┤	11	81	noortsterre	morgensterre	verre
lse┤	16	81	dalse	plaelse	stellse
ron┤	8	81	Nassaron	Caron	Gamron
mby┤	1	81	Jamby
ies┤	21	80	Passies	sengagies	dies
ner┤	12	78	hunner	syner	zyner
ame┤	14	78	genoechsame	bequame	quame
eyl┤	37	78	gehoorsaemheyl	onheyl	overicheyl
├200┤	1	78	200
nda┤	11	77	secunda	Sunda	Banda
imo┤	8	77	ullimo	ultimo	primo
hoe┤	7	76	Loehoe	Louhoe	wdtnthoe
mma┤	17	76	Narolamma	Hittoelamma	somma
hor┤	5	75	Johor	Lonthor	tchechor
off┤	16	75	loff	gelooff	Isoff
ssa┤	11	75	Galissa	capes-sarassa	Tagolissa
aha┤	12	75	Quimelaha	Kimelaha	pramaha
├opt┤	1	75	opt
lie┤	32	74	firmalie	administralie	apprehenlie
one┤	14	74	sone	croone	Bienone
├can┤	1	74	can
mde┤	16	74	genoemde	voornoemde	verlemde
rge┤	5	74	corge	sorge	borge
aya┤	25	73	Orangkaya	Orangcaya	Caya
jes┤	22	73	boontjes	pittjes	pitjes
ndo┤	12	72	commando	secundo	Firando
nst┤	14	72	gonst	dienst	godtsdienst
ucx┤	2	72	stucx	slucx
art┤	20	71	verwart	hart	apart
ure┤	29	71	posture	procure	facture
fen┤	16	71	getroffen	stoifen	schaffen
ist┤	11	71	wist	twist	gemist
ayl┤	4	70	thayl	Ismayl	tayl
ost┤	16	70	cost	gelost	most
lff┤	12	69	elff	halff	selff
age┤	12	69	dage	advantage	drage
ngb┤	31	69	bemachtingb	langb	gemoetingb
igo┤	8	69	Trigo	barigo	indigo
ech┤	14	68	genoech	boech	wech
ram┤	13	68	Laut-Geram	Goram	Ceram
oes┤	13	67	Nelmoes	lamboes	Goes
├dal┤	1	65	dal
ril┤	4	65	April	Amiril	^pril
ove┤	10	65	geloove	hove	grove
cks┤	24	65	gelucks	haecks	stucks
can┤	10	65	Arracan	Pamanoucan	Raccan
res┤	16	64	vivres	expres	redres
├ghy┤	1	63	ghy
tos┤	10	63	dittos	gastos	maintimentos
ygh┤	5	62	vaertuygh	vaerluygh	schiettuygh
lem┤	9	61	Salem	Alem	Willem
fde┤	13	61	gelieffde	affgeslooffde	lieffde
llo┤	15	61	Cambello	Gambello	Sotello
yns┤	30	60	zyns	treyns	syns
nna┤	10	60	tanna	Anna	Chinanna
├aff┤	1	59	aff
auw┤	19	59	prauw	Cauw	pardauw
hyn┤	9	59	Atchyn	schyn	voorschyn
alj┤	16	59	Entoualj	Balj	quialj
unt┤	12	58	gunt	gemunt	vergunt
ouw┤	24	58	ontrouw	balouw	Nassouw
our┤	17	58	Ragiepour	Ragiapour	retour
tel┤	18	58	Compostel	gestel	uytstel
yff┤	15	58	vyff	bedryff	verblyff
nio┤	9	58	Anthonio	Anlhonio	Anihonio
ylt┤	9	58	beseylt	verseylt	ingeseylt
oyt┤	9	57	noyt	voltoyt	uytgestroyt
hde┤	30	57	vervoeghde	benoodighde	vermenighvuldighde
yts┤	18	57	Maleyts	somtyts	tyts
idj┤	6	57	Lissidj	lassidj	Siribidj
hut┤	3	56	geschut	schut	beschut
ias┤	21	56	gelias	Hollandias	Indias
egh┤	17	56	belegh	overlegh	genoegh
oir┤	12	55	coniptoir	debvoir	comptoir
rby┤	6	55	waerby	daerby	voorby
├Goa┤	1	55	Goa
int┤	16	55	aengekint	begint	wint
tty┤	3	54	catty	Kesemachitty	Patty
tto┤	7	53	ditto	10«"ditto	Ditto
├zee┤	1	53	zee
yle┤	12	53	wyle	middelerwyle	Dewyle
erl┤	43	52	gecapleerl	gereduceerl	wierl
nae┤	7	52	(nae	daernae	bynae
├hen┤	1	52	hen
des┤	15	52	Godes	vandes	vredes
dan┤	2	52	alsdan	'dan
├Het┤	1	52	Het
nto┤	8	51	cento	Punto	percento
├Ady┤	1	51	Ady
├pas┤	1	51	pas
ins┤	17	51	Atchins	prins	Prins
dam┤	5	51	Eredam	Bredam	Amsterdam
├300┤	1	51	300
aff┤	7	50	gaff	overgaff	voorgaff
irj┤	10	50	Madirj	Adragirj	Andragirj
tem┤	3	49	item	Ruttem	Item
rdt┤	13	49	hardt	beantwoordt	wierdt
ord┤	5	49	accoord	antwoord	accord
cie┤	9	49	specie	provincie	suspicie
├mei┤	1	48	mei
uly┤	3	48	July	Petapouly	Ouly
tal┤	11	48	meestal	getal	christal
├out┤	1	48	out
ail┤	2	48	tail	lail
├ben┤	1	47	ben
ect┤	10	47	respect	effect	disrespect
├500┤	1	47	500
and┤	16	47	welstand	strand	stand
act┤	1	46	contract
son┤	13	46	plaetson	mousson	westermousson
ses┤	4	46	deses	onses	Moyses
myn┤	4	46	comyn	Miersiamomyn	commyn
├per┤	1	45	per
udt┤	10	45	oudt	inhoudt	goudt
iam┤	1	45	Siam
iel┤	13	45	viel	wiel	geviel
ult┤	9	45	sult	opgevult	gevult
ons┤	17	45	compangons	spions	canons
uyn┤	12	45	fortuyn	ajuyn	alluyn
nys┤	7	45	Gardenys	cattawanys	Wawanys
lpe┤	4	44	hulpe	bulpe	hnlpe
non┤	3	44	canon	ammenon	amenon
├bet┤	1	44	bet
eus┤	29	43	Geus	furieus	couragieus
vys┤	3	43	advys	a^vys	Advys
tan┤	6	43	Sultan	bestan	Soltan
ura┤	15	42	Indrapoura	indrapoura	Hartapoura
ays┤	12	42	Orangkays	pays	Oranghcays
ept┤	15	42	overgescheept	gescheept	weghgesleept
nie┤	12	42	aparenie	opinie	omnie
oer┤	13	42	toevoer	roer	Veloer
cte┤	11	42	Poincte	acte	effecte
├uwe┤	1	42	uwe
pel┤	15	42	exempel	timpel	Oostcappel
uch┤	6	42	genouch	slachbouch	valbruch
uin┤	8	42	Tonquin	benjuin	Toncquin
├tol┤	1	41	tol
ebt┤	2	41	hebt	gebraebt
├Cap┤	1	41	Cap
ala┤	11	41	Laala	Bengala	sala
ria┤	11	41	patria	Aria	Winguria
yer┤	10	40	Sayer	Maleyer	Zayer
oge┤	10	40	oorloge	voldoenioge	ooge
rou┤	15	40	Darou	Garou	Lanourou
├lot┤	1	40	lot
lis┤	19	40	Gillis	Cornelis	mahoulis
ope┤	6	40	hoope	hope	verhope
mer┤	22	40	camer	belhamer	spyscamer
han┤	18	40	Johan	Brahan	Tayouhan
fel┤	11	40	twyffel	taeffel	twyfifel
cao┤	3	40	Hacao	Maccao	Macao
├Syn┤	1	39	Syn
├wil┤	1	39	wil
loa┤	5	39	Boleloa	Batacaloa	Balacaloa
lla┤	13	39	Xulla	Galladulla	Hilla
cbt┤	25	39	versocbt	macbt	ondersocbt
oos┤	12	39	altoos	vruchteloos	schaloos
opt┤	14	39	loopt	gesloopt	(opt
tra┤	8	38	Sumatra	contra	Nostra
eek┤	11	38	treek	speek	bespreek
ete┤	16	38	heete	laete	haete
├Ten┤	1	38	Ten
ase┤	18	38	Sumatrase	Bandase	Macoase
├bos┤	1	38	bos
ose┤	20	37	malroose	eerloose	Mindanaose
ckx┤	9	37	jaerlyckx	ryckx	dagelyckx
ipe┤	5	37	huipe	Manipe	hennipe
abo┤	2	37	Cabo	Gabo
anj┤	9	37	Wawanj	Patanj	Palanj
uny┤	2	36	Juny	gouny
mpt┤	13	36	ampt	bewelcompt	genaempt
├Van┤	1	36	Van
mse┤	13	36	Roomse	Bantamse	Banthamse
ate┤	16	36	Tamate	Temate	plate
que┤	21	36	publycque	Laricque	trocque
sic┤	3	36	[sic	Grissic	Giïssic
dye┤	2	35	waerdye	waefdye
jen┤	25	35	bootjen	prauwtjen	praetjen
gel┤	13	35	musquetcogel	casuaris-vogel	vogel
udj┤	4	35	Assahoudj	Assehoudj	Moudj
mac┤	2	35	Damac	Dammac
ane┤	9	34	gedane	Tahane	begane
rin┤	4	34	daerin	waerin	Commorin
cha┤	11	34	Magaitcha	Payacha	contcha
ghe┤	24	34	onderhandelinghe	betalinghe	ladinghe
hst┤	7	34	jonghst	laeghst	hooghst
pde┤	5	34	epde	opde	spde
.Ed┤	3	34	Ü.Ed	U.Ed	vei'soeckeU.Ed
any┤	7	34	Boerany	Wawany	Patany
yst┤	12	33	gespyst	juyst	ryst
mba┤	10	33	talamba	casomba	Pinamba
ams┤	12	33	Bantams	Hattarams	Siams
sle┤	23	32	conquesle	accommodabelsle	compsle
ras┤	14	32	Sumalras	coiras	couras
├Met┤	1	32	Met
├600┤	1	32	600
hts┤	6	32	nachts	jonghts	slechts
val┤	8	32	uytval	ingeval	geval
ada┤	13	32	ambassada	Sarapada	prada
├eer┤	1	32	eer
ise┤	24	32	precise	Assahoudise	Lissidise
ynt┤	5	32	schynt	scbynt	Hschynt
ima┤	14	31	Panglima	Bima	maxima
had┤	3	31	gehad	gefieerthad	'had
ler┤	17	31	Wachler	echler	middeler
ilt┤	10	31	milt	wilt	gewilt
eme┤	14	31	bequaeme	(extreme	geeme
orm┤	4	31	conform	storm	worm
ite┤	18	31	enite	merite	visite
bat┤	8	31	Ceysunbat	Prabat	Probat
├400┤	1	30	400
nsz┤	5	30	Jansz	Hermansz	Geleynsz
edt┤	16	30	raedt	ongereedt	bebloedt
├God┤	1	30	God
rch┤	12	30	Valckenburch	Middelburch	Forcenburch
set┤	10	29	geset	ontset	affgeset
iën┤	10	29	natiën	actiën	indiciën
├Tot┤	1	29	Tot
urt┤	8	29	gebeurt	bespeurt	beurt
cco┤	7	29	Molucco	Tolucco	Lacco
├bun┤	1	29	bun
ito┤	3	29	deposito	dito	Dito
lha┤	1	29	Manilha
als┤	6	28	(als	selveals	hals
ole┤	8	28	groole	vloole	Irivole
sta┤	4	28	rasta	asta	Baptista
use┤	17	28	perfidieuse	ouse	Harouse
ary┤	7	28	January	ordinary	mary
rap┤	6	28	schrap	Corap	Gorap
lou┤	10	28	Assaloulou	Houlou	balou
num┤	2	28	Anum	fanum
uit┤	6	27	schuit	besluit	verguit
til┤	4	27	stil	Gentil	Moncberbitil
rne┤	8	27	gaerne	retourne	geerne
wer┤	11	27	trouwer	Tansjouwer	Lauwer
lye┤	6	27	parlye	perlye	olye
anl┤	13	27	Engelanl	wanl	lanl
cum┤	10	27	hoecum	Hoecum	boecum
├U.E┤	1	27	U.E
oom┤	11	27	toom	schiltpatshoom	stroom
ius┤	9	27	Mauritius	Craudenius	Campetius
tux┤	1	27	stux
eey┤	2	27	Keey	Queey
yft┤	5	26	blyft	schryft	aenschryft
uym┤	3	26	ruym	duym	scheepsruym
ops┤	5	26	inceops	incoops	schantcoops
gou┤	1	26	sagou
├wal┤	1	26	wal
eye┤	7	26	galleye	valeye	galeye
yte┤	5	26	moeyte	geconfyte	fluyte
nas┤	10	26	Jonas	harnas	Chinannas
cus┤	7	26	Dominicus	cocus	muscus
her┤	9	25	solpher	campher	champher
├150┤	1	25	150
oup┤	5	25	troup	chaloup	saloup
AET┤	3	25	TUANSLAET	TRANSLAET	PLACCAET
├jae┤	1	25	jae
uen┤	13	25	advenuen	practycquen	joncquen
cos┤	5	25	Moluccos	basurucos	Cucos
ute┤	7	25	resolute	faute	redoute
dor┤	2	25	Tidor	bidor
├min┤	1	25	min
├hel┤	1	25	hel
aar┤	5	25	bhaar	aldaar	maar
eda┤	4	24	Queda	uylgeda	Breda
cob┤	1	24	Jacob
nek┤	4	24	jonek	Coninek	danek
uwt┤	9	24	gebouwt	vernieuwt	getrouwt
ama┤	5	24	Rama	Bama	Ariama
kel┤	7	24	peryckel	obstakel	artyckel
vel┤	9	24	bevel	swavel	hertevel
tas┤	8	24	Leliattas	baftas	juytas
mas┤	10	23	Panghlymas	Thomas	somas
ecq┤	6	23	Leecq	reecq	arreecq
sty┤	2	23	Augusty	Christy
igb┤	18	23	ondienstigb	gestadigb	vlytigb
ssé┤	1	23	passé
qui┤	2	23	Nangesacqui	Nangasacqui
cas┤	5	22	Malaccas	Mallaccas	Lucas
rls┤	5	22	herrewaerls	derrewaerls	derwaerls
lyt┤	4	22	vlyt	verblyt	allyt
met┤	7	22	(met	besmet	Sediamet
rgh┤	10	22	Forcenburgh	Yoorburgh	Voorburgh
nis┤	11	22	gevauckenis	kennis	Wawanis
alt┤	6	22	valt	vervalt	tweespalt
pte┤	12	22	beknopte	doortrapte	hoopte
rla┤	3	22	Wingurla	Wingerla	Vi^ingerla
gbs┤	10	22	Sondagbs	langbs	daegbs
ocq┤	6	22	Lombocq	loocq	Croocq
ban┤	6	22	Sabartiban	Palimban	Paban
pra┤	3	22	Opra	Nappra	Ópra
nes┤	12	22	Bramenes	Mascarenes	Joannes
├vol┤	1	21	vol
fle┤	4	21	offle	ofle	geliefle
rol┤	2	21	Grol	pirol
mon┤	12	21	Symon	Quosaemon	Omon
nus┤	7	21	Stephanus	Bredannus	Neptunus
ava┤	4	21	Java	Dessava	Dissava
reu┤	19	21	despeschereu	inwoondereu	gouvernereu
ury┤	4	21	Limoury	Linooury	Soury
euw┤	8	21	nieuw	geschreeuw	Nieuw
lft┤	1	21	helft
noa┤	2	21	Bonoa	Boanoa
├110┤	1	21	110
egu┤	2	21	Pegu	naerPegu
500┤	8	21	4500	3500	1500
lac┤	3	21	gommelac	gonmielac	Bollac
icb┤	15	21	nedricb	besicb	ernsticb
rit┤	3	20	Johorit	Gerrit	favorit
ide┤	15	20	eiide	öide	^ide
dar┤	3	20	Sabandar	sabandar	Bandar
tje┤	12	20	cargasoentje	lietje	prautje
dje┤	4	20	bidje	padje	Sengadje
bel┤	15	20	capabel	practicabel	miserabel
├oly┤	1	20	oly
gon┤	8	20	begon	Tommagon	tommagon
├Die┤	1	20	Die
ith┤	8	20	Kievith	Kivith	besith
├120┤	1	20	120
bar┤	9	20	gobar	Sillebar	SiUebar
ulj┤	5	20	Petapoulj	Matulj	Julj
nlo┤	4	20	Venlo	Hcenlo	Yenlo
ado┤	14	20	renegado	pancado	capado
lot┤	3	20	galllot	gallot	Hgallot
gra┤	1	20	Agra
chl┤	19	20	vercochl	gevolchl	zeemachl
usa┤	5	20	Sousa	khausa	Mirmousa
ces┤	7	19	succes	proces	princes
sel┤	15	19	schynsel	Kissel	wissel
ckl┤	11	19	Coninckl	gemaeckl	genootsaeckl
ros┤	7	19	negros	renoceros	gros
ral┤	3	19	overal	vooral	daeral
syn┤	12	19	Cousyn	Gousyn	soudesyn
has┤	9	19	Manilhas	Kimelahas	Kimebhas
ocb┤	5	19	docb	nocb	(docb
nga┤	11	19	linga	Lenga	Singa
eld┤	8	19	onthield	toehield	behield
gin┤	3	19	begin	toeseggin	Coningin
stj┤	3	19	Augustj	Christj	costj
uve┤	3	19	preuve	drouve	behouve
ieu┤	3	19	ontsieu	nieu	Nieu
las┤	10	19	Corlas	plas	baflas
cen┤	9	18	princen	avaucen	avancen
├Des┤	1	18	Des
├uyl┤	1	18	uyl
aat┤	10	18	staat	slaat	Straat
cka┤	4	18	Paducka	Bancka	Dierendacka
├ses┤	1	18	ses
ley┤	11	18	veelderley	alderley	Accoley
mae┤	3	18	waemae	daemae	Daemae
mte┤	8	18	ruymte	geboomte	scheepsruymte
eke┤	13	18	gemeke	saeke	pekepeke
sin┤	13	18	huysgesin	hnysgesin	boffgesin
├800┤	1	18	800
├130┤	1	18	130
├Nae┤	1	17	Nae
cou┤	2	17	Ticou	Faccou
enl┤	15	17	dienl	onbekenl	aengedienl
oan┤	5	17	Joan	Jangounauvoan	Cauloan
orn┤	9	17	Ihoorn	toorn	torn
ery┤	12	17	Sery	Andragiery	burgery
eri┤	14	17	geêxlimeeri	veri	grasseeri
dom┤	7	17	ouderdom	ryckdom	vrydom
641┤	1	17	1641
ffe┤	4	17	stoffe	straffe	lyfiOstraffe
oth┤	7	17	looth	gemelte'geboth	Ackerslooth
ars┤	11	17	Maccassars	hars	modliars
tsz┤	4	17	Leendertsz	Gerritsz	Barentsz
ome┤	8	17	ingeboome	vrome	Thome
rio┤	6	17	Januario	Rosario	Februario
cis┤	3	17	macis	Medicis	Francis
orp┤	2	17	dorp	Rentdorp
uts┤	7	17	gouts	outs	göuts
├Lis┤	1	17	Lis
├Dat┤	1	16	Dat
ony┤	5	16	Anthony	Anlhony	Tacony
ulp┤	3	16	behulp	l)ehulp	hulp
uel┤	6	16	musquel	Ghauel	duel
├250┤	1	16	250
aft┤	4	16	gestraft	manhaft	verschaft
was┤	10	16	nagelgewas	gewas	i7sgewas
vis┤	4	16	advis	Advis	Walvis
acq┤	6	16	touacq	toubacq	namracq
yas┤	5	16	Oranghcayas	oranghcayas	Orangcayas
ang┤	7	16	Erang	lang	Morang
gam┤	5	16	Bingam	Biligam	Sittigam
IVE┤	1	16	MISSIVE
ile┤	14	16	enile	penibile	honorabile
dit┤	8	16	credit	dadit	jadit
pon┤	6	16	Lampon	Campon	perspon
iri┤	5	16	Mangelegiri	Siri	siri
├tin┤	1	16	tin
